.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
NeuN_minus.B21_T2_HS	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B22_T2_HS	1	1	0.25	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B25_T3_HS	1	1	0.5	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B26_T3_HS	1	1	1	1	0.25	0.5	1	1	0.5	1	1
NeuN_minus.B27_T1_HS	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B28_T3_HS	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B30_T1_HS	1	1	0.5	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B31_T1_HS	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
NeuN_minus.B32_T3_HS	1	1	0.25	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B33_T1_HS	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B34_T4_HS	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
NeuN_minus.B35_T3_HS	1	1	1	1	0.25	0.5	1	1	0.5	1	1
NeuN_minus.B36_T3_HS	1	1	0.5	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B37_T1_HS	1	1	0.5	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B38_T1_HS	1	1	0.5	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B39_T1_HS	1	1	1	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B40_T2_HS	1	1	1	1	0.25	0.25	1	1	1	1	1
NeuN_minus.B41_T1_HS	1	1	1	1	0.25	0.25	1	1	1	1	1
NeuN_minus.B42_T3_HS	1	1	0.5	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B43_T2_HS	1	1	0.25	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B44_T1_HS	1	1	0.5	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B45_T2_HS	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
NeuN_minus.B46_T2_HS	1	1	0.5	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B47_T2_HS	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
NeuN_minus.B48_T2_HS	1	1	1	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B50_T1_HS	1	1	1	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B51_T1_HS	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B52_T1_HS	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
NeuN_minus.B53_T1_HS	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
NeuN_minus.B54_T1_HS	1	1	1	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B55_T1_HS	1	1	1	1	0.25	1	1	1	0.5	1	1
NeuN_minus.B56_T1_HS	1	1	1	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B57_T2_HS	1	1	0.25	1	0.25	1	1	1	1	1	1
NeuN_minus.B58_T1_HS	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
NeuN_minus.B59_T1_HS	1	1	0.5	1	0.25	0.25	1	1	1	1	1
NeuN_minus.B60_T1_HS	1	1	0.5	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B61_T1_HS	1	1	0.5	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B62_T1_HS	1	1	0.5	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B63_T1_HS	1	1	0.5	1	0.25	0.25	1	1	1	1	1
NeuN_minus.B64_T2_HS	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
NeuN_minus.B65_T1_HS	1	1	0.5	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B66_T2_HS	1	1	0.25	1	0.25	0.25	1	1	1	1	1
NeuN_minus.B67_T1_HS	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
NeuN_minus.B68_T2_HS	1	1	0.25	1	0.25	0.25	1	1	1	1	1
NeuN_minus.B69_T1_HS	1	1	0.25	1	0.25	0.5	1	1	1	1	1
NeuN_minus.B70_T1_HS	1	1	0.25	1	0.25	0.25	1	1	1	1	1
