Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
NeuN_minus.B21_T2_HS - nextera_transposase_sequence	(1, 1.098542020523072e-05)	(2, 1.6478130307846077e-05)	(3, 3.8448970718307516e-05)	(4, 0.00010436149194969182)	(5, 0.0001135160087873841)	(6, 0.00011900871888999946)	(7, 0.00013182504246276862)	(8, 0.0001519649795056916)	(9, 0.0002728046017632295)	(10, 0.00037533519034538287)	(11, 0.0004412477115767672)	(12, 0.0005071602328081515)	(13, 0.0005492710102615359)	(14, 0.0006115217247578433)	(15, 0.0007689794143661504)	(16, 0.0009081280702990728)	(17, 0.0010399531127618415)	(18, 0.0011974108023701483)	(19, 0.0013420521684056861)	(20, 0.001684431098135377)	(21, 0.0019187867291802988)	(22, 0.0024955212899549118)	(23, 0.00280494395906891)	(24, 0.00320774269992737)	(25, 0.0037423664832485983)	(26, 0.004463742410058749)	(27, 0.012453804705996559)	(28, 0.02387497991270143)	(29, 0.036793834074052754)	(30, 0.05045603500262469)	(31, 0.061787495944320175)	(32, 0.07256236226228398)	(33, 0.0894616003446639)	(34, 0.11750554722525039)	(35, 0.15702925822030298)	(36, 0.2225481352276665)	(37, 0.3247876101743813)	(38, 0.44260624187548075)	(39, 0.5723110982386398)	(40, 0.7220863173167554)
NeuN_minus.B21_T2_HS - polya	(1, 0.0007817957379389194)	(2, 0.0008275683221273809)	(3, 0.0008440464524352269)	(4, 0.0009008044568289189)	(5, 0.001091218407052918)	(6, 0.0015288043118946084)	(7, 0.0017192182621186074)	(8, 0.0020158246076598368)	(9, 0.0022337021083969127)	(10, 0.00344392923433983)	(11, 0.0050166752270553614)	(12, 0.007283333596067966)	(13, 0.00964702984356011)	(14, 0.012118749389737022)	(15, 0.015786048834916543)	(16, 0.02425397690978189)	(17, 0.028124506628758178)	(18, 0.041552351926285196)	(19, 0.04479305088682826)	(20, 0.048863149072866235)	(21, 0.052935078162271755)	(22, 0.05653646508621989)	(23, 0.06054431255776157)	(24, 0.06522776337192493)	(25, 0.0684977567863486)	(26, 0.07639261210717442)	(27, 0.07980175417753102)	(28, 0.08700635892879482)	(29, 0.09043014822609174)	(30, 0.09488107431257772)	(31, 0.10103840233760954)	(32, 0.10513596407416059)	(33, 0.10865862215330457)	(34, 0.11318827708459471)	(35, 0.11970446216966407)	(36, 0.13599584033402123)	(37, 0.1430082002316935)	(38, 0.14987225695659515)	(39, 0.15461246577515222)	(40, 0.16129526306666755)
NeuN_minus.B22_T2_HS - nextera_transposase_sequence	(1, 1.3372471884043552e-05)	(2, 1.782996251205807e-05)	(3, 3.343117971010888e-05)	(4, 7.800608599025406e-05)	(5, 8.469232193227584e-05)	(6, 8.692106724628309e-05)	(7, 0.0001025222844443339)	(8, 0.0001025222844443339)	(9, 0.00018498586106260246)	(10, 0.0002317895126567549)	(11, 0.00028305065487892184)	(12, 0.00030979559864700894)	(13, 0.0003343117971010888)	(14, 0.000387801684637263)	(15, 0.00046803651594152433)	(16, 0.0005505000925597929)	(17, 0.0006507936316901196)	(18, 0.0007689171333325043)	(19, 0.0008714394177768382)	(20, 0.0011700912898538107)	(21, 0.001335018443090348)	(22, 0.00170721891052956)	(23, 0.0019033484981621988)	(24, 0.0022465752765193168)	(25, 0.0026923243393207684)	(26, 0.0032873993381607063)	(27, 0.008828060188782752)	(28, 0.01725271747573019)	(29, 0.027279842643448845)	(30, 0.03752984234256823)	(31, 0.04634453005946694)	(32, 0.055518045771920814)	(33, 0.06959925866581868)	(34, 0.09283169981903033)	(35, 0.12763132915193967)	(36, 0.1857012883083988)	(37, 0.277247002081247)	(38, 0.38547933202006746)	(39, 0.504476501825543)	(40, 0.6393066783417262)
NeuN_minus.B22_T2_HS - polya	(1, 0.0007600021520764752)	(2, 0.0007956620771005914)	(3, 0.0008313220021247075)	(4, 0.000913785578742976)	(5, 0.0012079799601919343)	(6, 0.0017763100152637852)	(7, 0.0020036420372925253)	(8, 0.0023936724672437956)	(9, 0.002681180612750732)	(10, 0.004470863099898561)	(11, 0.006822189406176219)	(12, 0.009987007752066526)	(13, 0.013269949599599219)	(14, 0.017143508955343834)	(15, 0.02285355444983043)	(16, 0.034349422779479874)	(17, 0.03980093381754163)	(18, 0.057809195954720276)	(19, 0.062233255403024684)	(20, 0.06798787580379143)	(21, 0.07331457710426878)	(22, 0.07846520752493955)	(23, 0.08380973878792895)	(24, 0.08989198474985477)	(25, 0.09448320009670971)	(26, 0.10447689408471826)	(27, 0.10929989894422998)	(28, 0.11804326681108045)	(29, 0.12278157934865988)	(30, 0.1285919183822768)	(31, 0.1363033771687419)	(32, 0.14179277687714179)	(33, 0.14641519465839284)	(34, 0.15221661871075373)	(35, 0.16041840146630046)	(36, 0.1792290119165217)	(37, 0.18802809841622237)	(38, 0.19660876787515033)	(39, 0.2023723032571731)	(40, 0.21032000904692297)
NeuN_minus.B25_T3_HS - nextera_transposase_sequence	(1, 2.7411822335207662e-05)	(2, 3.25515390230591e-05)	(3, 4.454421129471245e-05)	(4, 7.366927252587059e-05)	(5, 7.880898921372203e-05)	(6, 8.566194479752394e-05)	(7, 0.00010279433375702873)	(8, 0.00011650024492463256)	(9, 0.00020044895082620603)	(10, 0.00027925794003992805)	(11, 0.00031180947906298717)	(12, 0.0003392213013981948)	(13, 0.000361493407045551)	(14, 0.0003991846627564616)	(15, 0.0005054054743053913)	(16, 0.00057222179124746)	(17, 0.0006424645859814295)	(18, 0.0007349794863627555)	(19, 0.0008137884755764775)	(20, 0.000986825604067476)	(21, 0.0011290244324313656)	(22, 0.001427128000326749)	(23, 0.0015898856954420443)	(24, 0.0018468715298346162)	(25, 0.0021963722646085137)	(26, 0.0027206233667693607)	(27, 0.008949959992445302)	(28, 0.016930226769782633)	(29, 0.026094341624221744)	(30, 0.03455431529242521)	(31, 0.04163170517159664)	(32, 0.04976102373288166)	(33, 0.06323564764953217)	(34, 0.08658709380133721)	(35, 0.12124762990531134)	(36, 0.18001001079751683)	(37, 0.27372760488379994)	(38, 0.38204713408026897)	(39, 0.4993577410026861)	(40, 0.6266839425108297)
NeuN_minus.B25_T3_HS - polya	(1, 0.0007281265307789535)	(2, 0.0007486853975303592)	(3, 0.0007692442642817651)	(4, 0.0008274943867440813)	(5, 0.000933715198293011)	(6, 0.0011924142715815332)	(7, 0.0012815026941709582)	(8, 0.0014631060171417089)	(9, 0.001581319500962292)	(10, 0.002386541782059017)	(11, 0.003513852975594432)	(12, 0.005081466565389121)	(13, 0.006715896472125877)	(14, 0.00851137083508198)	(15, 0.01123370744074729)	(16, 0.017089557987106027)	(17, 0.01996951257119878)	(18, 0.029738400755908414)	(19, 0.03210095719342412)	(20, 0.035020316272123736)	(21, 0.03797907984543022)	(22, 0.04057977648948304)	(23, 0.0434597310735758)	(24, 0.046846804370869896)	(25, 0.04939610384804421)	(26, 0.05515943949402162)	(27, 0.057754996421386595)	(28, 0.06271824950295513)	(29, 0.06527097545792135)	(30, 0.06844732037101353)	(31, 0.07293086656171593)	(32, 0.07586393155158315)	(33, 0.07839781187869392)	(34, 0.08155017144724279)	(35, 0.0862410195443552)	(36, 0.09773513929728697)	(37, 0.10257332593945112)	(38, 0.10747147594297354)	(39, 0.1107283430841754)	(40, 0.11558880183198691)
NeuN_minus.B26_T3_HS - nextera_transposase_sequence	(1, 6.376893693738602e-05)	(2, 7.105681544451586e-05)	(3, 8.381060283199306e-05)	(4, 0.00014211363088903172)	(5, 0.0001566893879032914)	(6, 0.00015851135753007384)	(7, 0.00017126514491755106)	(8, 0.0001821969626782458)	(9, 0.00030973483655301787)	(10, 0.0004117651356528355)	(11, 0.00046642422445630923)	(12, 0.0005137954347526531)	(13, 0.0005593446754222146)	(14, 0.0006140037642256883)	(15, 0.0007287878507129832)	(16, 0.0008581476942145377)	(17, 0.00097839768958218)	(18, 0.0011022916242033871)	(19, 0.001229829498078159)	(20, 0.0015778256967936086)	(21, 0.0018055719001414158)	(22, 0.0023612726363100656)	(23, 0.0026546097462220412)	(24, 0.003119212001051568)	(25, 0.003629363496550656)	(26, 0.004285272562192341)	(27, 0.011035670029421348)	(28, 0.019675449999623763)	(29, 0.029255366297245927)	(30, 0.039349078029620746)	(31, 0.049136698864696106)	(32, 0.062090902911119385)	(33, 0.08657453075582205)	(34, 0.12911752154119244)	(35, 0.19044684114831675)	(36, 0.2947637121297464)	(37, 0.45354289919495727)	(38, 0.6314454794628768)	(39, 0.818086226060845)	(40, 1.0267873808998953)
NeuN_minus.B26_T3_HS - polya	(1, 0.0008125984535449762)	(2, 0.0008581476942145377)	(3, 0.000887299208243057)	(4, 0.0009838635984625273)	(5, 0.0013118181312833698)	(6, 0.001973193105805402)	(7, 0.0022537764283299005)	(8, 0.002729310500920122)	(9, 0.003059087003367747)	(10, 0.004831863450227078)	(11, 0.007269658810862007)	(12, 0.010190276122594287)	(13, 0.013437025997520627)	(14, 0.016649158449538102)	(15, 0.021169465093585377)	(16, 0.03196099119301788)	(17, 0.03702606675547311)	(18, 0.054114319885065786)	(19, 0.058088035641078326)	(20, 0.06324967559375302)	(21, 0.06842771327306878)	(22, 0.07284416764838945)	(23, 0.07780174700286452)	(24, 0.08329862936686719)	(25, 0.08751831102249537)	(26, 0.0972676704954083)	(27, 0.10166954911371472)	(28, 0.11095430633179812)	(29, 0.11539626828189375)	(30, 0.12101704458051764)	(31, 0.1288642677630697)	(32, 0.13411154028820316)	(33, 0.13846422572658645)	(34, 0.14393742248544095)	(35, 0.15183201687828934)	(36, 0.17039970934482937)	(37, 0.17870971281258416)	(38, 0.1868284094695268)	(39, 0.19241456834524182)	(40, 0.2000376892636996)
NeuN_minus.B27_T1_HS - nextera_transposase_sequence	(1, 0.00016243798422333573)	(2, 0.0001764951174734321)	(3, 0.00019055225072352845)	(4, 0.0002249141320015418)	(5, 0.0002467807837239139)	(6, 0.0002530283985017345)	(7, 0.0002842664723908375)	(8, 0.0003592378497246848)	(9, 0.00045919968616981447)	(10, 0.0006278852851709708)	(11, 0.0006825519144769011)	(12, 0.0007512756770329278)	(13, 0.0008059423063388581)	(14, 0.0008715422615059744)	(15, 0.0009668183868677386)	(16, 0.0010683421270073234)	(17, 0.0011526849265079016)	(18, 0.0013244943328979684)	(19, 0.001426018073037553)	(20, 0.0018039987670956997)	(21, 0.001994551017819228)	(22, 0.0024584364150724083)	(23, 0.0027505124059355214)	(24, 0.0033580929430785753)	(25, 0.0039625496728327185)	(26, 0.005357329671981169)	(27, 0.02219152769081879)	(28, 0.04408004606491328)	(29, 0.06878623870380486)	(30, 0.09347525040205744)	(31, 0.11984643237923821)	(32, 0.15569368407067838)	(33, 0.2208625538181251)	(34, 0.3275889951639401)	(35, 0.482028470567971)	(36, 0.7316206809419041)	(37, 1.0978589830251368)	(38, 1.4980015286039077)	(39, 1.9013069291639502)	(40, 2.308154727303017)
NeuN_minus.B28_T3_HS - nextera_transposase_sequence	(1, 7.100249651232509e-05)	(2, 7.530567811913268e-05)	(3, 8.391204133274784e-05)	(4, 0.00012264067579401608)	(5, 0.00014200499302465018)	(6, 0.00014415658382805398)	(7, 0.00016136931025528432)	(8, 0.00018073362748591843)	(9, 0.00024958453319483975)	(10, 0.00039804429862970133)	(11, 0.0004518340687147961)	(12, 0.0005013206571930832)	(13, 0.0005335945192441402)	(14, 0.0005787779261156198)	(15, 0.0006411740594143297)	(16, 0.0006928122386960206)	(17, 0.0007358440547640965)	(18, 0.0008111497328832292)	(19, 0.0008886070018057656)	(20, 0.001060734266078069)	(21, 0.0011898297142822964)	(22, 0.0014996587899724421)	(23, 0.0018030330932523766)	(24, 0.002394720564188419)	(25, 0.003076774848867421)	(26, 0.005082057477639754)	(27, 0.03305058633108563)	(28, 0.06396033981278448)	(29, 0.09862461924642296)	(30, 0.13079735652971985)	(31, 0.16701293293261246)	(32, 0.22172143229076063)	(33, 0.32291505095644774)	(34, 0.49155243494563006)	(35, 0.7392457198242779)	(36, 1.1302951967521135)	(37, 1.6795705097714604)	(38, 2.2693968546625585)	(39, 2.8548231963606963)	(40, 3.4330008286421663)
