Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
NeuN_minus.B21_T2_HS	(1, 0.8592923847767195)	(2, 0.008114563724930423)	(3, 0.0)	(4, 0.0029440926150018326)	(5, 0.003454914654545061)	(6, 0.000157457689608307)	(7, 0.00041012235432861345)	(8, 0.0)	(9, 0.0)	(10, 9.154516837692265e-05)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 3.8448970718307516e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0053810249971955135)	(21, 0.0)	(22, 0.0)	(23, 0.00016844310981353768)	(24, 0.0)	(25, 1.6478130307846077e-05)	(26, 0.0)	(27, 0.0)	(28, 0.0038357425549930594)	(29, 0.00040462964422599817)	(30, 0.0)	(31, 0.0002105538872669221)	(32, 0.0)	(33, 0.0018949849854022988)	(34, 6.0419811128768954e-05)	(35, 0.0)	(36, 0.0006518015988436893)	(37, 0.00037533519034538287)	(38, 0.0)	(39, 0.000371673383610306)	(40, 0.0005108220395432285)	(41, 1.8309033675384533e-06)	(42, 0.0)	(43, 1.8309033675384533e-06)	(44, 0.0004302622913715365)	(45, 7.140523133399967e-05)	(46, 7.323613470153812e-05)	(47, 2.74635505130768e-05)	(48, 0.004330086464228442)	(49, 0.001506833471484147)	(50, 0.00038632061055061365)	(51, 0.0016551366442547615)
NeuN_minus.B22_T2_HS	(1, 0.3780732113416213)	(2, 0.013249890891773152)	(3, 0.0)	(4, 0.017698466538531642)	(5, 0.0033163730272428005)	(6, 0.0)	(7, 0.00018498586106260246)	(8, 3.120243439610162e-05)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0003499130142991396)	(13, 0.0)	(14, 0.0)	(15, 0.000129267228212421)	(16, 0.0)	(17, 0.0001025222844443339)	(18, 0.0014754293978728051)	(19, 0.0)	(20, 0.0)	(21, 6.686235942021776e-05)	(22, 0.0)	(23, 2.2287453140072584e-06)	(24, 0.0)	(25, 0.004031800273039131)	(26, 0.0)	(27, 0.0)	(28, 0.00042123286434737184)	(29, 0.0)	(30, 0.003557077521155585)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0019434659138143295)	(35, 0.002409273684441847)	(36, 0.0)	(37, 0.00071542724579633)	(38, 0.00026522069236686375)	(39, 5.571863285018147e-05)	(40, 0.0003008806173909799)	(41, 1.1143726570036293e-05)	(42, 0.0009316155412550341)	(43, 0.0002161882954587041)	(44, 0.0010452815522694044)	(45, 0.0021529679733310117)	(46, 0.0008068058036706276)	(47, 0.0009070993428009543)	(48, 0.0001716133891785589)	(49, 0.0)	(50, 0.0015489779932350448)	(51, 2.2287453140072584e-06)
NeuN_minus.B25_T3_HS	(1, 0.3498433825530878)	(2, 0.01066148564949983)	(3, 0.004488685907390255)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00012506643940438496)	(9, 0.0)	(10, 0.0)	(11, 0.003200330257635495)	(12, 8.223546700562299e-05)	(13, 0.0)	(14, 0.0)	(15, 3.426477791900958e-06)	(16, 0.0)	(17, 0.0)	(18, 0.002271754776030335)	(19, 4.1117733502811495e-05)	(20, 9.936785596512778e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.004670289230361006)	(27, 0.0038976184882873396)	(28, 0.0010365095320500398)	(29, 0.0)	(30, 0.0)	(31, 0.00035978016814960055)	(32, 0.00032208891243869003)	(33, 0.002890234017468458)	(34, 0.0)	(35, 0.0008583326868711899)	(36, 0.0)	(37, 0.0002638387899763738)	(38, 0.0024807699213362936)	(39, 0.002569858343925718)	(40, 0.0)	(41, 0.0)	(42, 0.007605067459124176)	(43, 0.000611626285854321)	(44, 0.003859927232576429)	(45, 0.0034761617198835215)	(46, 0.0018759965910657742)	(47, 0.0012934953664426115)	(48, 0.0)	(49, 0.003919890593934695)	(50, 5.139716687851437e-06)	(51, 0.0)
NeuN_minus.B26_T3_HS	(1, 0.5711473946645114)	(2, 0.0)	(3, 0.00045002649781526716)	(4, 0.07195869040977317)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0015486741827650892)	(9, 0.004219681655628173)	(10, 0.0)	(11, 0.0)	(12, 0.00819157544201393)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.00043727271042778994)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0006777727011630743)	(27, 0.0)	(28, 0.0)	(29, 1.2753787387477206e-05)	(30, 0.0006431552782542077)	(31, 0.0033906854754421544)	(32, 0.0)	(33, 0.000302446958045888)	(34, 8.19886332052106e-05)	(35, 0.002652787776595259)	(36, 0.0)	(37, 0.0003643939253564916)	(38, 0.004137693022422962)	(39, 0.0010640302620409554)	(40, 0.0005702764931829093)	(41, 3.643939253564916e-05)	(42, 0.0012917764653887626)	(43, 1.4575757014259662e-05)	(44, 0.0007725151217557621)	(45, 0.0004937537688580461)	(46, 0.0003188446846869302)	(47, 0.0017308711454433353)	(48, 0.0008818332993627097)	(49, 0.015393821376684987)	(50, 0.0011387310167390362)	(51, 0.0025033862671990973)
NeuN_minus.B27_T1_HS	(1, 0.706167898337063)	(2, 0.0)	(3, 0.0032128358994942463)	(4, 0.0073831187636895)	(5, 0.0)	(6, 0.0)	(7, 0.0005747805595594957)	(8, 0.0)	(9, 6.71618588615715e-05)	(10, 0.0)	(11, 0.0018399225520681682)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00017961892486234238)	(16, 0.0)	(17, 0.0005357329671981169)	(18, 0.0)	(19, 1.7180940639006663e-05)	(20, 9.371422166730909e-06)	(21, 0.0)	(22, 0.0)	(23, 0.0012354658223140246)	(24, 0.0)	(25, 1.561903694455151e-05)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 4.2171399750289084e-05)	(30, 0.0)	(31, 6.559995516711635e-05)	(32, 0.00032019025736330605)	(33, 0.0007044185661992733)	(34, 0.0005123044117812896)	(35, 0.0)	(36, 0.0009168374686451739)	(37, 0.0)	(38, 1.4057133250096362e-05)	(39, 0.0025521506367397174)	(40, 0.0011401896969522604)	(41, 0.0006356948036432466)	(42, 0.0)	(43, 0.003406511957606685)	(44, 0.0)	(45, 0.0)	(46, 0.006592795494295194)	(47, 0.005996148283013326)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0012307801112306593)
NeuN_minus.B28_T3_HS	(1, 0.5139569499814738)	(2, 0.008165287098917387)	(3, 0.0013124703900763124)	(4, 0.0007530567811913268)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00046474361353521877)	(10, 0.0)	(11, 0.0)	(12, 0.0006110517881666766)	(13, 0.000236674988374417)	(14, 0.0)	(15, 0.0)	(16, 7.530567811913268e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0007573599627981344)	(20, 0.0)	(21, 2.581908964084549e-05)	(22, 0.0107278317457713)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0032489021131397243)	(27, 0.014607149964308336)	(28, 0.0)	(29, 0.004815260218017684)	(30, 0.008262108685070556)	(31, 0.0006712963306619828)	(32, 0.0058092951691902355)	(33, 0.0)	(34, 0.005036874070768274)	(35, 0.0)	(36, 0.018637079539083636)	(37, 0.006880787389285323)	(38, 0.002809977589245351)	(39, 0.006276190373528858)	(40, 1.0757954017018954e-05)	(41, 0.004400003192960752)	(42, 0.003300540292421415)	(43, 0.008064162331157409)	(44, 0.004378487284926714)	(45, 0.00322953779590909)	(46, 0.006061031293188479)	(47, 0.002528119193999454)	(48, 0.004128902751731874)	(49, 0.006504258998689659)	(50, 0.003681371864623886)	(51, 0.006837755573217248)
NeuN_minus.B30_T1_HS	(1, 0.779593995320563)	(2, 0.0009200881733640652)	(3, 0.0)	(4, 0.004146968838519465)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.005599393740758454)	(13, 0.0)	(14, 0.0006128444440442792)	(15, 0.0)	(16, 3.943235028703137e-05)	(17, 0.0)	(18, 0.0003450330650115244)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.001603582245005942)	(27, 0.0024842380680829756)	(28, 0.0)	(29, 3.286029190585947e-06)	(30, 0.0)	(31, 0.0)	(32, 0.0007738598743829904)	(33, 0.0016594447412459031)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.00037460732772679796)	(38, 0.00022016395576925847)	(39, 0.0030707942786025676)	(40, 0.0003286029190585947)	(41, 1.6430145952929735e-06)	(42, 0.0003532481379879893)	(43, 0.0028522733374286018)	(44, 0.00030067167093861415)	(45, 0.003461831752282295)	(46, 0.0008165782538606079)	(47, 0.0018171741423940288)	(48, 0.0)	(49, 0.001733380398034087)	(50, 0.0004206117363950012)	(51, 0.00024316616010336008)
NeuN_minus.B31_T1_HS	(1, 0.2737979684873358)	(2, 0.09263744262782138)	(3, 0.0)	(4, 0.010982720955468761)	(5, 0.0)	(6, 0.002853865255351147)	(7, 0.0)	(8, 0.0)	(9, 3.328769737967901e-05)	(10, 0.0)	(11, 0.004602578957696952)	(12, 0.0)	(13, 0.0)	(14, 4.2164416680926747e-05)	(15, 0.0)	(16, 0.0009253979871550765)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.006164881554716553)	(25, 0.0003461920527486617)	(26, 0.006795128625105141)	(27, 0.0)	(28, 0.004101044317176454)	(29, 0.0002285755220071292)	(30, 0.00029737009659179916)	(31, 0.0)	(32, 0.0009498089652335077)	(33, 0.0)	(34, 3.5506877204990946e-05)	(35, 0.0005947401931835983)	(36, 0.0)	(37, 0.0009520281450588196)	(38, 0.0001952878246274502)	(39, 0.0010696446758003521)	(40, 0.0)	(41, 0.0032799477818110383)	(42, 0.0)	(43, 0.0004860003817433135)	(44, 0.00430298968127984)	(45, 0.0052838671640677145)	(46, 1.7753438602495473e-05)	(47, 0.0016399738909055191)	(48, 0.0)	(49, 0.004240852646171106)	(50, 0.0003350961536221021)	(51, 0.0745666613103063)
NeuN_minus.B32_T3_HS	(1, 0.5146994398096155)	(2, 0.003654625402604002)	(3, 0.0)	(4, 0.011393832137530124)	(5, 0.0)	(6, 0.0009121494957571286)	(7, 0.0)	(8, 0.0)	(9, 1.2054839150975268e-05)	(10, 0.0)	(11, 0.0)	(12, 0.0001105026922172733)	(13, 0.0)	(14, 1.6073118867967024e-05)	(15, 2.009139858495878e-06)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 6.027419575487634e-06)	(21, 0.0003917822724066962)	(22, 0.0)	(23, 0.0)	(24, 2.009139858495878e-06)	(25, 0.0)	(26, 1.8082258726462903e-05)	(27, 0.0010005516495309472)	(28, 2.4109678301950536e-05)	(29, 0.000624842495992218)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.00029735269905738996)	(34, 0.0)	(35, 0.001364205963918701)	(36, 0.002370785033025136)	(37, 0.015291563463012126)	(38, 0.02973727904559749)	(39, 0.012062875710409251)	(40, 0.0074197534974252775)	(41, 0.019508748025994973)	(42, 0.014706903764189828)	(43, 0.01879952165594593)	(44, 0.026323750426012996)	(45, 0.015580879602635532)	(46, 0.014435669883292883)	(47, 0.016623623189194893)	(48, 0.01836956572622781)	(49, 0.006674362609923307)	(50, 0.013650096198620993)	(51, 0.006085684631384015)
NeuN_minus.B33_T1_HS	(1, 0.22374107050011516)	(2, 0.036718285558134424)	(3, 0.023405488509069986)	(4, 0.0)	(5, 0.0)	(6, 0.0016327574016871261)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.002053286212520691)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00023296901257446295)	(20, 0.0)	(21, 0.0031628504927482173)	(22, 7.502391930364061e-05)	(23, 0.0)	(24, 0.7968586616289552)	(25, 2.7640391322393912e-05)	(26, 0.00027442959955805384)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00013030470194842842)	(33, 0.0006673180190692245)	(34, 0.0)	(35, 0.010440170665201358)	(36, 0.007547801144679424)	(37, 0.0012971240784866286)	(38, 0.0)	(39, 0.0)	(40, 0.0004284260654971056)	(41, 7.897254663541117e-06)	(42, 0.0005804482177702722)	(43, 0.00014807352494139597)	(44, 0.0035359957756005353)	(45, 0.0006357290004150599)	(46, 0.0)	(47, 0.0014057113301103189)	(48, 0.0)	(49, 0.003245771666715399)	(50, 0.0)	(51, 0.05834491745424177)
