Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
NeuN_minus.B21_T2_HS	(1, 31.294868854863502)	(2, 31.448945140587472)	(3, 35.33223488285798)	(4, 35.81246252712964)	(5, 36.19938299655056)	(6, 39.7537304610341)	(7, 39.937134211826404)	(8, 39.973948130910394)	(9, 39.918364669336015)	(10, 39.87889260812496)	(11, 39.988353019480975)	(12, 39.92677314797854)	(13, 39.97865604259355)	(14, 39.92143011422622)	(15, 39.9825663029156)	(16, 39.97609382149392)	(17, 39.925840119622436)	(18, 39.91922770225637)	(19, 39.926311027968566)	(20, 39.924069800847334)	(21, 39.91271001583054)	(22, 39.894846825434186)	(23, 39.7548973323683)	(24, 39.83717195956113)	(25, 39.861940603407525)	(26, 39.79579724187956)	(27, 39.777650444551576)	(28, 39.74597526702215)	(29, 39.72932521488809)	(30, 39.72688806279749)	(31, 39.71845146147925)	(32, 39.714365452742946)	(33, 39.70761826257999)	(34, 39.699050715052906)	(35, 39.68837134865459)	(36, 39.67579870001101)	(37, 39.675920986046926)	(38, 39.659177667695324)	(39, 39.66334883174725)	(40, 39.63878713490848)	(41, 39.66288440479904)	(42, 39.63142450488757)	(43, 39.608679723314616)	(44, 39.59450241603262)	(45, 39.60971035712924)	(46, 39.61787051034802)	(47, 39.57718177723117)	(48, 39.54618061015844)	(49, 39.56812876567617)	(50, 39.526137234959116)	(51, 39.26461284715232)
NeuN_minus.B22_T2_HS	(1, 31.54202337178231)	(2, 31.542338070620648)	(3, 35.549199240782364)	(4, 36.023179040415485)	(5, 36.316039762955995)	(6, 39.94227375794587)	(7, 40.08101562765012)	(8, 40.135667828155)	(9, 40.11948412836913)	(10, 40.0530855039864)	(11, 40.15446923388708)	(12, 40.082134702959735)	(13, 40.13913883153213)	(14, 40.09084655636784)	(15, 40.13539757049822)	(16, 40.11798226605183)	(17, 40.1028265527546)	(18, 40.099793787568565)	(19, 40.10890327142815)	(20, 40.10671985879383)	(21, 40.09394544842735)	(22, 40.08225563468047)	(23, 40.07628616323144)	(24, 40.05942126972779)	(25, 40.04832410164737)	(26, 39.99189552426486)	(27, 39.96688287279209)	(28, 39.9636864731251)	(29, 39.94995178555262)	(30, 39.92786442916684)	(31, 39.93219784554322)	(32, 39.910226740513025)	(33, 39.902680855215934)	(34, 39.89390985090719)	(35, 39.88566257945978)	(36, 39.85388809300394)	(37, 39.85214133615154)	(38, 39.82235676266185)	(39, 39.80684393750295)	(40, 39.791833092651125)	(41, 39.620491900137765)	(42, 39.73584984086981)	(43, 39.72734031296131)	(44, 39.75108884237943)	(45, 39.766288083072645)	(46, 39.75873426344224)	(47, 39.719862114659406)	(48, 39.71751642707878)	(49, 39.709694422524734)	(50, 39.67997223161638)	(51, 39.44835054348177)
NeuN_minus.B25_T3_HS	(1, 31.52550358258812)	(2, 31.533312782461696)	(3, 35.518323329845636)	(4, 36.002658364265294)	(5, 36.28364336903906)	(6, 39.8986030010189)	(7, 40.04383789429508)	(8, 40.09793366942055)	(9, 40.07398697554674)	(10, 39.99608235374902)	(11, 40.102329771898006)	(12, 40.04265956284722)	(13, 40.089829244220425)	(14, 40.043891587202076)	(15, 40.08068572249751)	(16, 40.06466469447742)	(17, 40.047226235389154)	(18, 40.039219704659544)	(19, 40.04218574949816)	(20, 40.04566333320633)	(21, 40.011978520918376)	(22, 40.01055135865327)	(23, 40.000115797816974)	(24, 40.001302387076315)	(25, 39.99790909472183)	(26, 39.937344300849134)	(27, 39.91961166151005)	(28, 39.910737529471135)	(29, 39.901253621444376)	(30, 39.89101820117591)	(31, 39.885501554798566)	(32, 39.88000783155764)	(33, 39.85842525316874)	(34, 39.85384867810598)	(35, 39.76711006545669)	(36, 39.78665495176753)	(37, 39.74539952525465)	(38, 39.78896568272844)	(39, 39.7962837655401)	(40, 39.7983241988004)	(41, 39.78981027523937)	(42, 39.77287912332058)	(43, 39.73059493111546)	(44, 39.67730057488074)	(45, 39.70534573023861)	(46, 39.718345769848696)	(47, 39.708604087897655)	(48, 39.68846265180325)	(49, 39.68195659283109)	(50, 39.67291031454792)	(51, 39.42854209057908)
NeuN_minus.B26_T3_HS	(1, 31.279586194987154)	(2, 31.32325488970643)	(3, 34.96025070812216)	(4, 35.54393726215211)	(5, 35.983390888442855)	(6, 39.41958335307893)	(7, 39.58542600665234)	(8, 39.65060190497492)	(9, 39.58795393485041)	(10, 39.5345652690283)	(11, 39.649030583709695)	(12, 39.55945694519062)	(13, 39.620277024287056)	(14, 39.55058413530515)	(15, 39.61781756570756)	(16, 39.60277962965807)	(17, 39.5916280277013)	(18, 39.58621222298569)	(19, 39.58813611359339)	(20, 39.58156454244503)	(21, 39.580072859472196)	(22, 39.558369775914315)	(23, 39.54732075084753)	(24, 39.52603099931918)	(25, 39.52366757675871)	(26, 39.432964007336196)	(27, 39.40983384784845)	(28, 39.383887816082805)	(29, 39.36189068484686)	(30, 39.34898343295772)	(31, 39.352341541616234)	(32, 39.33527675545544)	(33, 39.32544985295521)	(34, 39.31088934582672)	(35, 39.300387002746454)	(36, 39.299421030889725)	(37, 39.26992144778371)	(38, 39.25864469473327)	(39, 39.248181050287876)	(40, 39.24190172306765)	(41, 39.2220335633406)	(42, 39.207238258986315)	(43, 39.194746325073595)	(44, 39.145733793438964)	(45, 39.14517834777855)	(46, 39.14036971444106)	(47, 39.13464851117661)	(48, 39.10997709292247)	(49, 39.084994536915175)	(50, 39.08907396334893)	(51, 38.79959831764426)
NeuN_minus.B27_T1_HS	(1, 31.359277506459488)	(2, 31.481279444032257)	(3, 35.29561976291739)	(4, 35.876881051381105)	(5, 36.20996852545389)	(6, 39.762693021229985)	(7, 39.88012070516703)	(8, 39.91416705066069)	(9, 39.91760792449958)	(10, 39.899324061185766)	(11, 39.98395461020397)	(12, 39.88168196848097)	(13, 39.95283569394772)	(14, 39.919362535871855)	(15, 39.930055250468904)	(16, 39.87127953368553)	(17, 39.88761806156693)	(18, 39.88433762647554)	(19, 39.891290721914075)	(20, 39.895306860502664)	(21, 39.89814844751302)	(22, 39.89243016189725)	(23, 39.8858652463839)	(24, 39.87843302136806)	(25, 39.87405389636088)	(26, 39.784772747854355)	(27, 39.761022643323955)	(28, 39.69967450239388)	(29, 39.71249654467855)	(30, 39.730477554866006)	(31, 39.72470061976651)	(32, 39.714602678096306)	(33, 39.69959462663895)	(34, 39.70647043908268)	(35, 39.70151405008907)	(36, 39.70034009203424)	(37, 39.683981524928434)	(38, 39.68677021026066)	(39, 39.557430136750604)	(40, 39.624975442969166)	(41, 39.59795355629384)	(42, 39.63544842895448)	(43, 39.65032507745402)	(44, 39.64200703437691)	(45, 39.55399596347857)	(46, 39.604169542521845)	(47, 39.591956408392456)	(48, 39.60277579337913)	(49, 39.59243983320493)	(50, 39.55428833623113)	(51, 39.37833316886488)
NeuN_minus.B28_T3_HS	(1, 31.27052637528662)	(2, 31.28954428639791)	(3, 34.74653502975941)	(4, 35.53193882708911)	(5, 35.836126453208635)	(6, 39.21708077366644)	(7, 39.34627123612054)	(8, 39.353397003638705)	(9, 39.44764666420912)	(10, 39.39034442213747)	(11, 39.49445497397124)	(12, 39.407657197537056)	(13, 39.48588878095792)	(14, 39.47114595167755)	(15, 39.487877388757965)	(16, 39.449926102538065)	(17, 39.378742162373285)	(18, 39.35917258338001)	(19, 39.33865357191291)	(20, 39.33162634725355)	(21, 39.33884885029423)	(22, 39.32379053325435)	(23, 39.27976167000798)	(24, 39.28837478921672)	(25, 39.28009944824821)	(26, 39.12296537236216)	(27, 39.10489704433605)	(28, 39.06407648268435)	(29, 39.06735989631398)	(30, 39.06362327159752)	(31, 39.04465631015646)	(32, 39.0337520264489)	(33, 39.049381139013015)	(34, 39.05186792614768)	(35, 39.02467455091298)	(36, 39.02428188559136)	(37, 38.993058709877324)	(38, 38.97902992903688)	(39, 38.96002133431377)	(40, 38.98428734116499)	(41, 38.95556123718967)	(42, 38.959288394906594)	(43, 38.91683845505539)	(44, 38.92397175314136)	(45, 38.91175235258704)	(46, 38.90535610344668)	(47, 38.80607712088921)	(48, 38.85924079956643)	(49, 38.84302753009919)	(50, 38.82545621954867)	(51, 38.43668209292725)
NeuN_minus.B30_T1_HS	(1, 31.415439066404932)	(2, 31.52864885117462)	(3, 35.479706683119595)	(4, 35.981366522184345)	(5, 36.318727300521104)	(6, 39.95010657578474)	(7, 40.07847818139052)	(8, 40.11657926267157)	(9, 40.08745962209481)	(10, 40.048139834737704)	(11, 40.1531754740245)	(12, 40.07667648444561)	(13, 40.1392492494545)	(14, 40.073285959526764)	(15, 40.128779878302566)	(16, 40.110780406958945)	(17, 40.09643130329241)	(18, 40.09185038143898)	(19, 40.08985167061395)	(20, 40.10348972685408)	(21, 40.06804096403421)	(22, 40.082879636759706)	(23, 40.071266103103895)	(24, 40.064660050750746)	(25, 40.05296007809709)	(26, 40.00036621152314)	(27, 39.97156240764204)	(28, 39.91564864934671)	(29, 39.93136272024857)	(30, 39.94435615614238)	(31, 39.94069155995889)	(32, 39.88532109729979)	(33, 39.85098896005917)	(34, 39.87938373545678)	(35, 39.89845609533113)	(36, 39.86188459491771)	(37, 39.877345838733646)	(38, 39.88168336440493)	(39, 39.87035333291754)	(40, 39.876200887582776)	(41, 39.84321253911936)	(42, 39.78385817682031)	(43, 39.809375179293966)	(44, 39.83188352630101)	(45, 39.78882185535386)	(46, 39.79795146311436)	(47, 39.78347257772494)	(48, 39.78222329514726)	(49, 39.70505099818723)	(50, 39.74643053436158)	(51, 39.555554069540136)
NeuN_minus.B31_T1_HS	(1, 31.451922279085252)	(2, 31.363287127272383)	(3, 35.07562456652483)	(4, 35.68213540046087)	(5, 36.076094566620036)	(6, 39.574162093732255)	(7, 39.69972370989257)	(8, 39.77144673636652)	(9, 39.753157942822966)	(10, 39.698315152073846)	(11, 39.8220126127973)	(12, 39.7168897094035)	(13, 39.800007469759294)	(14, 39.72488736719235)	(15, 39.78158976405969)	(16, 39.758656981662895)	(17, 39.72923478485373)	(18, 39.73634703427587)	(19, 39.69423441325207)	(20, 39.71940306370646)	(21, 39.70976492161535)	(22, 39.70017369298575)	(23, 39.71127045759244)	(24, 39.6874464969614)	(25, 39.6786149379696)	(26, 39.58727365170235)	(27, 39.58196504068322)	(28, 39.56356353499634)	(29, 39.54584984190452)	(30, 39.5297506909028)	(31, 39.53250879854869)	(32, 39.50683359810738)	(33, 39.4478437372515)	(34, 39.46669671288205)	(35, 39.47303684306757)	(36, 39.47036965521912)	(37, 39.468524118701)	(38, 39.429292481310014)	(39, 39.4373785734149)	(40, 39.43277930103514)	(41, 39.41584755814656)	(42, 39.40735351421439)	(43, 39.394813838885284)	(44, 39.38384547602328)	(45, 39.36094338488348)	(46, 39.34784671761001)	(47, 39.348643913578655)	(48, 39.32394577363083)	(49, 39.30690822024818)	(50, 39.279873838739256)	(51, 38.964390530111686)
NeuN_minus.B32_T3_HS	(1, 31.341958778356975)	(2, 31.355690947918816)	(3, 34.973772808835584)	(4, 35.62019346690805)	(5, 35.95700064993665)	(6, 39.272415596687516)	(7, 39.458648094392125)	(8, 39.488002551929085)	(9, 39.545798654491094)	(10, 39.412550911855156)	(11, 39.49877399272125)	(12, 39.435949274281604)	(13, 39.447896021708196)	(14, 39.420870117084434)	(15, 39.421998992496725)	(16, 39.37798197291225)	(17, 39.32203602697174)	(18, 39.2961627056106)	(19, 39.28113879975954)	(20, 39.27357545303643)	(21, 39.26370734161604)	(22, 39.22369562270507)	(23, 39.19924055317005)	(24, 39.15411458884068)	(25, 39.108158769384154)	(26, 38.933188304242364)	(27, 38.85770626588238)	(28, 38.78461182905603)	(29, 38.699429341996854)	(30, 38.60908794634022)	(31, 38.52757266189915)	(32, 38.40434944222159)	(33, 38.31918063740484)	(34, 38.22061691724291)	(35, 38.107345349021045)	(36, 38.01321523796765)	(37, 36.901128258606356)	(38, 28.87921987429897)	(39, 27.92325608116909)	(40, 27.86225439596285)	(41, 27.493581953407524)	(42, 27.839008627708655)	(43, 28.15017207378775)	(44, 29.111856631476517)	(45, 31.462898791407945)	(46, 34.35799320119127)	(47, 35.62293188435238)	(48, 36.05415264797702)	(49, 36.159094623716534)	(50, 35.87703748631048)	(51, 31.612809596648496)
NeuN_minus.B33_T1_HS	(1, 31.40570848709864)	(2, 31.30161882072152)	(3, 34.94170732288536)	(4, 35.583280094320074)	(5, 35.98543359274564)	(6, 39.436979305619275)	(7, 39.58187114511555)	(8, 39.64584658797039)	(9, 39.50675891476163)	(10, 39.525154839004294)	(11, 39.66851956662315)	(12, 39.583667336202495)	(13, 39.67585698490359)	(14, 39.5879484379556)	(15, 39.6486957595079)	(16, 39.635574253709926)	(17, 39.601797379623775)	(18, 39.58201353261713)	(19, 39.603577262879845)	(20, 39.584438680808624)	(21, 39.55613478189253)	(22, 39.49303713863668)	(23, 39.5341533855738)	(24, 39.210171889078396)	(25, 39.53271539421526)	(26, 39.445433079818955)	(27, 39.412697498246466)	(28, 39.39327386476816)	(29, 39.39285566564745)	(30, 39.37917153968411)	(31, 39.37296952944978)	(32, 39.348077481465985)	(33, 39.32109508940216)	(34, 39.301443659613085)	(35, 39.29425757247513)	(36, 39.300708583149)	(37, 39.29821555805368)	(38, 39.27581884511219)	(39, 39.262278547899406)	(40, 39.24256980378461)	(41, 39.24784688755275)	(42, 39.233679627292226)	(43, 39.22989698051035)	(44, 39.21074651307085)	(45, 39.1913645376109)	(46, 39.171359725418775)	(47, 39.161406854852586)	(48, 39.14617575541634)	(49, 39.13983745830965)	(50, 39.131822653010445)	(51, 38.78404485261581)
