Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
NeuN_minus.B21_T2_HS	(0.0, 639.0)	(1.0, 662.0)	(2.0, 685.0)	(3.0, 1035.5)	(4.0, 1386.0)	(5.0, 2096.5)	(6.0, 2807.0)	(7.0, 4038.5)	(8.0, 5270.0)	(9.0, 7559.5)	(10.0, 9849.0)	(11.0, 14961.0)	(12.0, 20073.0)	(13.0, 28084.5)	(14.0, 36096.0)	(15.0, 51014.0)	(16.0, 65932.0)	(17.0, 89256.5)	(18.0, 112581.0)	(19.0, 147177.5)	(20.0, 181774.0)	(21.0, 233052.0)	(22.0, 284330.0)	(23.0, 352063.0)	(24.0, 419796.0)	(25.0, 502827.0)	(26.0, 683596.0)	(27.0, 781334.0)	(28.0, 898445.5)	(29.0, 1015557.0)	(30.0, 1155241.5)	(31.0, 1294926.0)	(32.0, 1485320.0)	(33.0, 1675714.0)	(34.0, 1843733.0)	(35.0, 2011752.0)	(36.0, 2164484.5)	(37.0, 2317217.0)	(38.0, 2447010.0)	(39.0, 2576803.0)	(40.0, 2658243.5)	(41.0, 2739684.0)	(42.0, 2777134.0)	(43.0, 2814584.0)	(44.0, 2860451.5)	(45.0, 2906319.0)	(46.0, 2871766.0)	(47.0, 2837213.0)	(48.0, 2714460.0)	(49.0, 2591707.0)	(50.0, 2569668.0)	(51.0, 2547629.0)	(52.0, 2523337.5)	(53.0, 2499046.0)	(54.0, 2440018.0)	(55.0, 2380990.0)	(56.0, 2366180.0)	(57.0, 2351370.0)	(58.0, 2340785.0)	(59.0, 2330200.0)	(60.0, 2323071.5)	(61.0, 2315943.0)	(62.0, 2248886.0)	(63.0, 2181829.0)	(64.0, 2113959.5)	(65.0, 2046090.0)	(66.0, 1942429.0)	(67.0, 1838768.0)	(68.0, 1726394.5)	(69.0, 1614021.0)	(70.0, 1481102.0)	(71.0, 1348183.0)	(72.0, 1211567.0)	(73.0, 1074951.0)	(74.0, 955253.5)	(75.0, 733872.5)	(76.0, 632189.0)	(77.0, 548838.0)	(78.0, 465487.0)	(79.0, 395060.5)	(80.0, 324634.0)	(81.0, 276538.0)	(82.0, 228442.0)	(83.0, 189046.5)	(84.0, 149651.0)	(85.0, 117047.0)	(86.0, 84443.0)	(87.0, 64798.0)	(88.0, 45153.0)	(89.0, 33145.5)	(90.0, 21138.0)	(91.0, 14513.5)	(92.0, 7889.0)	(93.0, 5170.0)	(94.0, 2451.0)	(95.0, 1721.0)	(96.0, 991.0)	(97.0, 740.0)	(98.0, 489.0)	(99.0, 458.5)	(100.0, 428.0)
NeuN_minus.B22_T2_HS	(0.0, 1010.0)	(1.0, 1206.5)	(2.0, 1403.0)	(3.0, 2073.0)	(4.0, 2743.0)	(5.0, 3860.5)	(6.0, 4978.0)	(7.0, 7320.5)	(8.0, 9663.0)	(9.0, 13820.5)	(10.0, 17978.0)	(11.0, 27022.0)	(12.0, 36066.0)	(13.0, 52115.0)	(14.0, 68164.0)	(15.0, 99178.0)	(16.0, 130192.0)	(17.0, 178619.5)	(18.0, 227047.0)	(19.0, 297028.5)	(20.0, 367010.0)	(21.0, 461235.5)	(22.0, 555461.0)	(23.0, 666950.5)	(24.0, 778440.0)	(25.0, 897184.5)	(26.0, 1139005.0)	(27.0, 1262081.0)	(28.0, 1396600.5)	(29.0, 1531120.0)	(30.0, 1660892.0)	(31.0, 1790664.0)	(32.0, 1953649.5)	(33.0, 2116635.0)	(34.0, 2242692.0)	(35.0, 2368749.0)	(36.0, 2462261.5)	(37.0, 2555774.0)	(38.0, 2589848.0)	(39.0, 2623922.0)	(40.0, 2651231.5)	(41.0, 2678541.0)	(42.0, 2597182.0)	(43.0, 2515823.0)	(44.0, 2483939.0)	(45.0, 2452055.0)	(46.0, 2332476.5)	(47.0, 2212898.0)	(48.0, 2070762.5)	(49.0, 1928627.0)	(50.0, 1877453.0)	(51.0, 1826279.0)	(52.0, 1769435.0)	(53.0, 1712591.0)	(54.0, 1642603.0)	(55.0, 1572615.0)	(56.0, 1540778.0)	(57.0, 1508941.0)	(58.0, 1472744.0)	(59.0, 1436547.0)	(60.0, 1402608.5)	(61.0, 1368670.0)	(62.0, 1303589.0)	(63.0, 1238508.0)	(64.0, 1177012.0)	(65.0, 1115516.0)	(66.0, 1043716.0)	(67.0, 971916.0)	(68.0, 891323.5)	(69.0, 810731.0)	(70.0, 728796.0)	(71.0, 646861.0)	(72.0, 566130.5)	(73.0, 485400.0)	(74.0, 414526.0)	(75.0, 286701.5)	(76.0, 229751.0)	(77.0, 187720.0)	(78.0, 145689.0)	(79.0, 117360.0)	(80.0, 89031.0)	(81.0, 71397.0)	(82.0, 53763.0)	(83.0, 42174.5)	(84.0, 30586.0)	(85.0, 22980.0)	(86.0, 15374.0)	(87.0, 11335.0)	(88.0, 7296.0)	(89.0, 5261.0)	(90.0, 3226.0)	(91.0, 2280.0)	(92.0, 1334.0)	(93.0, 899.5)	(94.0, 465.0)	(95.0, 365.0)	(96.0, 265.0)	(97.0, 215.5)	(98.0, 166.0)	(99.0, 157.0)	(100.0, 148.0)
NeuN_minus.B25_T3_HS	(0.0, 547.0)	(1.0, 574.5)	(2.0, 602.0)	(3.0, 911.5)	(4.0, 1221.0)	(5.0, 1892.5)	(6.0, 2564.0)	(7.0, 3722.5)	(8.0, 4881.0)	(9.0, 7163.0)	(10.0, 9445.0)	(11.0, 14460.5)	(12.0, 19476.0)	(13.0, 27861.0)	(14.0, 36246.0)	(15.0, 50786.0)	(16.0, 65326.0)	(17.0, 89388.5)	(18.0, 113451.0)	(19.0, 148525.0)	(20.0, 183599.0)	(21.0, 238115.5)	(22.0, 292632.0)	(23.0, 365133.5)	(24.0, 437635.0)	(25.0, 520249.5)	(26.0, 703225.0)	(27.0, 803586.0)	(28.0, 929407.0)	(29.0, 1055228.0)	(30.0, 1189201.0)	(31.0, 1323174.0)	(32.0, 1525462.0)	(33.0, 1727750.0)	(34.0, 1905426.0)	(35.0, 2083102.0)	(36.0, 2219913.0)	(37.0, 2356724.0)	(38.0, 2453992.5)	(39.0, 2551261.0)	(40.0, 2635792.5)	(41.0, 2720324.0)	(42.0, 2728680.0)	(43.0, 2737036.0)	(44.0, 2790892.5)	(45.0, 2844749.0)	(46.0, 2778210.0)	(47.0, 2711671.0)	(48.0, 2589746.0)	(49.0, 2467821.0)	(50.0, 2469284.5)	(51.0, 2470748.0)	(52.0, 2453601.0)	(53.0, 2436454.0)	(54.0, 2416870.0)	(55.0, 2397286.0)	(56.0, 2448938.5)	(57.0, 2500591.0)	(58.0, 2547713.5)	(59.0, 2594836.0)	(60.0, 2671338.5)	(61.0, 2747841.0)	(62.0, 2735182.0)	(63.0, 2722523.0)	(64.0, 2691040.0)	(65.0, 2659557.0)	(66.0, 2554842.0)	(67.0, 2450127.0)	(68.0, 2300623.5)	(69.0, 2151120.0)	(70.0, 1962413.5)	(71.0, 1773707.0)	(72.0, 1576669.0)	(73.0, 1379631.0)	(74.0, 1196613.5)	(75.0, 864646.5)	(76.0, 715697.0)	(77.0, 598048.0)	(78.0, 480399.0)	(79.0, 392573.0)	(80.0, 304747.0)	(81.0, 248764.5)	(82.0, 192782.0)	(83.0, 153516.0)	(84.0, 114250.0)	(85.0, 87135.5)	(86.0, 60021.0)	(87.0, 44905.5)	(88.0, 29790.0)	(89.0, 21471.0)	(90.0, 13152.0)	(91.0, 8805.5)	(92.0, 4459.0)	(93.0, 2993.0)	(94.0, 1527.0)	(95.0, 1085.0)	(96.0, 643.0)	(97.0, 487.0)	(98.0, 331.0)	(99.0, 288.5)	(100.0, 246.0)
NeuN_minus.B26_T3_HS	(0.0, 693.0)	(1.0, 690.5)	(2.0, 688.0)	(3.0, 1053.5)	(4.0, 1419.0)	(5.0, 2044.0)	(6.0, 2669.0)	(7.0, 4092.0)	(8.0, 5515.0)	(9.0, 8192.5)	(10.0, 10870.0)	(11.0, 16127.0)	(12.0, 21384.0)	(13.0, 30046.5)	(14.0, 38709.0)	(15.0, 54556.5)	(16.0, 70404.0)	(17.0, 94860.0)	(18.0, 119316.0)	(19.0, 155239.5)	(20.0, 191163.0)	(21.0, 243251.5)	(22.0, 295340.0)	(23.0, 368062.5)	(24.0, 440785.0)	(25.0, 524535.5)	(26.0, 705777.0)	(27.0, 803268.0)	(28.0, 922380.5)	(29.0, 1041493.0)	(30.0, 1171156.0)	(31.0, 1300819.0)	(32.0, 1475673.0)	(33.0, 1650527.0)	(34.0, 1807879.5)	(35.0, 1965232.0)	(36.0, 2105925.0)	(37.0, 2246618.0)	(38.0, 2360104.0)	(39.0, 2473590.0)	(40.0, 2592950.5)	(41.0, 2712311.0)	(42.0, 2741213.5)	(43.0, 2770116.0)	(44.0, 2840342.0)	(45.0, 2910568.0)	(46.0, 2877343.5)	(47.0, 2844119.0)	(48.0, 2735660.5)	(49.0, 2627202.0)	(50.0, 2635590.5)	(51.0, 2643979.0)	(52.0, 2602924.5)	(53.0, 2561870.0)	(54.0, 2488711.0)	(55.0, 2415552.0)	(56.0, 2374804.0)	(57.0, 2334056.0)	(58.0, 2286805.0)	(59.0, 2239554.0)	(60.0, 2191143.0)	(61.0, 2142732.0)	(62.0, 2048421.5)	(63.0, 1954111.0)	(64.0, 1880565.5)	(65.0, 1807020.0)	(66.0, 1715922.0)	(67.0, 1624824.0)	(68.0, 1545350.0)	(69.0, 1465876.0)	(70.0, 1380325.0)	(71.0, 1294774.0)	(72.0, 1205724.0)	(73.0, 1116674.0)	(74.0, 1041430.0)	(75.0, 895959.5)	(76.0, 825733.0)	(77.0, 760160.0)	(78.0, 694587.0)	(79.0, 617939.5)	(80.0, 541292.0)	(81.0, 484849.0)	(82.0, 428406.0)	(83.0, 365599.0)	(84.0, 302792.0)	(85.0, 243945.0)	(86.0, 185098.0)	(87.0, 144198.0)	(88.0, 103298.0)	(89.0, 76824.0)	(90.0, 50350.0)	(91.0, 35852.5)	(92.0, 21355.0)	(93.0, 14480.5)	(94.0, 7606.0)	(95.0, 5255.0)	(96.0, 2904.0)	(97.0, 2036.0)	(98.0, 1168.0)	(99.0, 962.0)	(100.0, 756.0)
NeuN_minus.B27_T1_HS	(0.0, 535.0)	(1.0, 588.5)	(2.0, 642.0)	(3.0, 1049.5)	(4.0, 1457.0)	(5.0, 2033.5)	(6.0, 2610.0)	(7.0, 4026.5)	(8.0, 5443.0)	(9.0, 8176.0)	(10.0, 10909.0)	(11.0, 17514.5)	(12.0, 24120.0)	(13.0, 35569.5)	(14.0, 47019.0)	(15.0, 68362.5)	(16.0, 89706.0)	(17.0, 123090.5)	(18.0, 156475.0)	(19.0, 204309.5)	(20.0, 252144.0)	(21.0, 321344.5)	(22.0, 390545.0)	(23.0, 480648.5)	(24.0, 570752.0)	(25.0, 674194.0)	(26.0, 896294.0)	(27.0, 1014952.0)	(28.0, 1155776.0)	(29.0, 1296600.0)	(30.0, 1443759.5)	(31.0, 1590919.0)	(32.0, 1769577.5)	(33.0, 1948236.0)	(34.0, 2091758.5)	(35.0, 2235281.0)	(36.0, 2336154.0)	(37.0, 2437027.0)	(38.0, 2487604.5)	(39.0, 2538182.0)	(40.0, 2539234.5)	(41.0, 2540287.0)	(42.0, 2468332.0)	(43.0, 2396377.0)	(44.0, 2347686.0)	(45.0, 2298995.0)	(46.0, 2207918.5)	(47.0, 2116842.0)	(48.0, 2035971.5)	(49.0, 1955101.0)	(50.0, 1947030.0)	(51.0, 1938959.0)	(52.0, 1998216.5)	(53.0, 2057474.0)	(54.0, 2145302.0)	(55.0, 2233130.0)	(56.0, 2377015.5)	(57.0, 2520901.0)	(58.0, 2696625.5)	(59.0, 2872350.0)	(60.0, 3053868.0)	(61.0, 3235386.0)	(62.0, 3357507.0)	(63.0, 3479628.0)	(64.0, 3529975.0)	(65.0, 3580322.0)	(66.0, 3529760.5)	(67.0, 3479199.0)	(68.0, 3319782.0)	(69.0, 3160365.0)	(70.0, 2915545.5)	(71.0, 2670726.0)	(72.0, 2384865.5)	(73.0, 2099005.0)	(74.0, 1811179.5)	(75.0, 1276526.0)	(76.0, 1029698.0)	(77.0, 837493.5)	(78.0, 645289.0)	(79.0, 511906.5)	(80.0, 378524.0)	(81.0, 295348.5)	(82.0, 212173.0)	(83.0, 162192.0)	(84.0, 112211.0)	(85.0, 83416.5)	(86.0, 54622.0)	(87.0, 40094.0)	(88.0, 25566.0)	(89.0, 18078.5)	(90.0, 10591.0)	(91.0, 7287.5)	(92.0, 3984.0)	(93.0, 2674.5)	(94.0, 1365.0)	(95.0, 931.5)	(96.0, 498.0)	(97.0, 345.5)	(98.0, 193.0)	(99.0, 161.0)	(100.0, 129.0)
NeuN_minus.B28_T3_HS	(0.0, 1247.0)	(1.0, 1229.5)	(2.0, 1212.0)	(3.0, 1584.0)	(4.0, 1956.0)	(5.0, 2184.0)	(6.0, 2412.0)	(7.0, 2891.5)	(8.0, 3371.0)	(9.0, 4217.0)	(10.0, 5063.0)	(11.0, 6898.5)	(12.0, 8734.0)	(13.0, 11911.0)	(14.0, 15088.0)	(15.0, 20511.0)	(16.0, 25934.0)	(17.0, 34439.0)	(18.0, 42944.0)	(19.0, 56125.0)	(20.0, 69306.0)	(21.0, 88527.5)	(22.0, 107749.0)	(23.0, 133495.5)	(24.0, 159242.0)	(25.0, 190412.0)	(26.0, 259123.0)	(27.0, 296664.0)	(28.0, 338053.0)	(29.0, 379442.0)	(30.0, 423917.5)	(31.0, 468393.0)	(32.0, 520316.0)	(33.0, 572239.0)	(34.0, 615471.0)	(35.0, 658703.0)	(36.0, 690764.5)	(37.0, 722826.0)	(38.0, 743893.5)	(39.0, 764961.0)	(40.0, 775937.5)	(41.0, 786914.0)	(42.0, 787402.0)	(43.0, 787890.0)	(44.0, 803063.0)	(45.0, 818236.0)	(46.0, 839263.0)	(47.0, 860290.0)	(48.0, 907425.0)	(49.0, 954560.0)	(50.0, 1055736.0)	(51.0, 1156912.0)	(52.0, 1319201.5)	(53.0, 1481491.0)	(54.0, 1697438.0)	(55.0, 1913385.0)	(56.0, 2184353.5)	(57.0, 2455322.0)	(58.0, 2736709.0)	(59.0, 3018096.0)	(60.0, 3283308.5)	(61.0, 3548521.0)	(62.0, 3735613.5)	(63.0, 3922706.0)	(64.0, 3985685.5)	(65.0, 4048665.0)	(66.0, 3968733.0)	(67.0, 3888801.0)	(68.0, 3682578.0)	(69.0, 3476355.0)	(70.0, 3165947.0)	(71.0, 2855539.0)	(72.0, 2519891.5)	(73.0, 2184244.0)	(74.0, 1858960.0)	(75.0, 1265528.0)	(76.0, 997380.0)	(77.0, 797731.0)	(78.0, 598082.0)	(79.0, 466246.0)	(80.0, 334410.0)	(81.0, 254203.0)	(82.0, 173996.0)	(83.0, 129981.5)	(84.0, 85967.0)	(85.0, 62548.0)	(86.0, 39129.0)	(87.0, 28253.5)	(88.0, 17378.0)	(89.0, 12039.5)	(90.0, 6701.0)	(91.0, 4583.5)	(92.0, 2466.0)	(93.0, 1594.5)	(94.0, 723.0)	(95.0, 486.0)	(96.0, 249.0)	(97.0, 153.0)	(98.0, 57.0)	(99.0, 43.5)	(100.0, 30.0)
NeuN_minus.B30_T1_HS	(0.0, 1354.0)	(1.0, 1632.5)	(2.0, 1911.0)	(3.0, 2854.5)	(4.0, 3798.0)	(5.0, 5277.5)	(6.0, 6757.0)	(7.0, 10042.0)	(8.0, 13327.0)	(9.0, 19191.0)	(10.0, 25055.0)	(11.0, 39793.5)	(12.0, 54532.0)	(13.0, 79489.5)	(14.0, 104447.0)	(15.0, 149604.5)	(16.0, 194762.0)	(17.0, 263589.0)	(18.0, 332416.0)	(19.0, 424880.0)	(20.0, 517344.0)	(21.0, 640139.5)	(22.0, 762935.0)	(23.0, 906502.0)	(24.0, 1050069.0)	(25.0, 1198984.5)	(26.0, 1501022.5)	(27.0, 1654145.0)	(28.0, 1818819.5)	(29.0, 1983494.0)	(30.0, 2147357.5)	(31.0, 2311221.0)	(32.0, 2519000.0)	(33.0, 2726779.0)	(34.0, 2873217.0)	(35.0, 3019655.0)	(36.0, 3126246.5)	(37.0, 3232838.0)	(38.0, 3276674.0)	(39.0, 3320510.0)	(40.0, 3313890.0)	(41.0, 3307270.0)	(42.0, 3225744.5)	(43.0, 3144219.0)	(44.0, 3100563.0)	(45.0, 3056907.0)	(46.0, 2915022.0)	(47.0, 2773137.0)	(48.0, 2622456.5)	(49.0, 2471776.0)	(50.0, 2387274.0)	(51.0, 2302772.0)	(52.0, 2264840.0)	(53.0, 2226908.0)	(54.0, 2150488.5)	(55.0, 2074069.0)	(56.0, 2048828.0)	(57.0, 2023587.0)	(58.0, 2002848.0)	(59.0, 1982109.0)	(60.0, 1966562.0)	(61.0, 1951015.0)	(62.0, 1902961.5)	(63.0, 1854908.0)	(64.0, 1808460.0)	(65.0, 1762012.0)	(66.0, 1693815.5)	(67.0, 1625619.0)	(68.0, 1532719.0)	(69.0, 1439819.0)	(70.0, 1322687.0)	(71.0, 1205555.0)	(72.0, 1078160.0)	(73.0, 950765.0)	(74.0, 828899.5)	(75.0, 599711.5)	(76.0, 492389.0)	(77.0, 409987.0)	(78.0, 327585.0)	(79.0, 268297.0)	(80.0, 209009.0)	(81.0, 172072.5)	(82.0, 135136.0)	(83.0, 109100.0)	(84.0, 83064.0)	(85.0, 64950.0)	(86.0, 46836.0)	(87.0, 35840.0)	(88.0, 24844.0)	(89.0, 18405.5)	(90.0, 11967.0)	(91.0, 8519.5)	(92.0, 5072.0)	(93.0, 3460.0)	(94.0, 1848.0)	(95.0, 1283.0)	(96.0, 718.0)	(97.0, 519.0)	(98.0, 320.0)	(99.0, 267.0)	(100.0, 214.0)
NeuN_minus.B31_T1_HS	(0.0, 511.0)	(1.0, 590.5)	(2.0, 670.0)	(3.0, 987.0)	(4.0, 1304.0)	(5.0, 1981.5)	(6.0, 2659.0)	(7.0, 4199.5)	(8.0, 5740.0)	(9.0, 8763.0)	(10.0, 11786.0)	(11.0, 18461.0)	(12.0, 25136.0)	(13.0, 36586.5)	(14.0, 48037.0)	(15.0, 69134.0)	(16.0, 90231.0)	(17.0, 123528.5)	(18.0, 156826.0)	(19.0, 201876.5)	(20.0, 246927.0)	(21.0, 313043.5)	(22.0, 379160.0)	(23.0, 459986.0)	(24.0, 540812.0)	(25.0, 629048.0)	(26.0, 815667.0)	(27.0, 914050.0)	(28.0, 1026797.0)	(29.0, 1139544.0)	(30.0, 1256260.0)	(31.0, 1372976.0)	(32.0, 1537034.0)	(33.0, 1701092.0)	(34.0, 1841995.0)	(35.0, 1982898.0)	(36.0, 2092121.0)	(37.0, 2201344.0)	(38.0, 2258119.5)	(39.0, 2314895.0)	(40.0, 2363396.0)	(41.0, 2411897.0)	(42.0, 2383172.5)	(43.0, 2354448.0)	(44.0, 2369211.0)	(45.0, 2383974.0)	(46.0, 2304826.5)	(47.0, 2225679.0)	(48.0, 2099424.0)	(49.0, 1973169.0)	(50.0, 1936632.0)	(51.0, 1900095.0)	(52.0, 1852889.0)	(53.0, 1805683.0)	(54.0, 1737928.0)	(55.0, 1670173.0)	(56.0, 1649558.5)	(57.0, 1628944.0)	(58.0, 1625611.5)	(59.0, 1622279.0)	(60.0, 1613774.5)	(61.0, 1605270.0)	(62.0, 1583253.0)	(63.0, 1561236.0)	(64.0, 1540461.5)	(65.0, 1519687.0)	(66.0, 1473308.0)	(67.0, 1426929.0)	(68.0, 1356840.0)	(69.0, 1286751.0)	(70.0, 1190229.0)	(71.0, 1093707.0)	(72.0, 983679.5)	(73.0, 873652.0)	(74.0, 762664.0)	(75.0, 554148.5)	(76.0, 456621.0)	(77.0, 378524.5)	(78.0, 300428.0)	(79.0, 245571.5)	(80.0, 190715.0)	(81.0, 154737.5)	(82.0, 118760.0)	(83.0, 95135.0)	(84.0, 71510.0)	(85.0, 55320.0)	(86.0, 39130.0)	(87.0, 29657.5)	(88.0, 20185.0)	(89.0, 14725.5)	(90.0, 9266.0)	(91.0, 6492.0)	(92.0, 3718.0)	(93.0, 2556.0)	(94.0, 1394.0)	(95.0, 968.0)	(96.0, 542.0)	(97.0, 367.0)	(98.0, 192.0)	(99.0, 146.5)	(100.0, 101.0)
NeuN_minus.B32_T3_HS	(0.0, 393.0)	(1.0, 372.0)	(2.0, 351.0)	(3.0, 519.0)	(4.0, 687.0)	(5.0, 1077.5)	(6.0, 1468.0)	(7.0, 2122.0)	(8.0, 2776.0)	(9.0, 4114.0)	(10.0, 5452.0)	(11.0, 8139.5)	(12.0, 10827.0)	(13.0, 15430.0)	(14.0, 20033.0)	(15.0, 28845.5)	(16.0, 37658.0)	(17.0, 51952.0)	(18.0, 66246.0)	(19.0, 87589.5)	(20.0, 108933.0)	(21.0, 142424.0)	(22.0, 175915.0)	(23.0, 222893.5)	(24.0, 269872.0)	(25.0, 331427.0)	(26.0, 471750.0)	(27.0, 550518.0)	(28.0, 648341.5)	(29.0, 746165.0)	(30.0, 861518.5)	(31.0, 976872.0)	(32.0, 1132552.5)	(33.0, 1288233.0)	(34.0, 1451158.0)	(35.0, 1614083.0)	(36.0, 1752624.5)	(37.0, 1891166.0)	(38.0, 2014215.5)	(39.0, 2137265.0)	(40.0, 2241269.0)	(41.0, 2345273.0)	(42.0, 2400409.0)	(43.0, 2455545.0)	(44.0, 2531600.5)	(45.0, 2607656.0)	(46.0, 2605391.5)	(47.0, 2603127.0)	(48.0, 2536741.5)	(49.0, 2470356.0)	(50.0, 2466996.5)	(51.0, 2463637.0)	(52.0, 2439228.5)	(53.0, 2414820.0)	(54.0, 2368555.0)	(55.0, 2322290.0)	(56.0, 2309015.5)	(57.0, 2295741.0)	(58.0, 2276006.0)	(59.0, 2256271.0)	(60.0, 2231091.5)	(61.0, 2205912.0)	(62.0, 2131944.0)	(63.0, 2057976.0)	(64.0, 1992333.0)	(65.0, 1926690.0)	(66.0, 1826634.0)	(67.0, 1726578.0)	(68.0, 1631089.5)	(69.0, 1535601.0)	(70.0, 1423375.5)	(71.0, 1311150.0)	(72.0, 1192854.0)	(73.0, 1074558.0)	(74.0, 981324.0)	(75.0, 801617.5)	(76.0, 715145.0)	(77.0, 641693.5)	(78.0, 568242.0)	(79.0, 493207.5)	(80.0, 418173.0)	(81.0, 370347.5)	(82.0, 322522.0)	(83.0, 272524.5)	(84.0, 222527.0)	(85.0, 177685.0)	(86.0, 132843.0)	(87.0, 103249.5)	(88.0, 73656.0)	(89.0, 54545.5)	(90.0, 35435.0)	(91.0, 24967.0)	(92.0, 14499.0)	(93.0, 9592.5)	(94.0, 4686.0)	(95.0, 3460.0)	(96.0, 2234.0)	(97.0, 2063.5)	(98.0, 1893.0)	(99.0, 1707.5)	(100.0, 1522.0)
NeuN_minus.B33_T1_HS	(0.0, 469.0)	(1.0, 467.0)	(2.0, 465.0)	(3.0, 633.5)	(4.0, 802.0)	(5.0, 1246.0)	(6.0, 1690.0)	(7.0, 2629.0)	(8.0, 3568.0)	(9.0, 5425.5)	(10.0, 7283.0)	(11.0, 11109.5)	(12.0, 14936.0)	(13.0, 21690.0)	(14.0, 28444.0)	(15.0, 41281.5)	(16.0, 54119.0)	(17.0, 74530.5)	(18.0, 94942.0)	(19.0, 124641.0)	(20.0, 154340.0)	(21.0, 199477.0)	(22.0, 244614.0)	(23.0, 304842.0)	(24.0, 365070.0)	(25.0, 442080.5)	(26.0, 598539.5)	(27.0, 677988.0)	(28.0, 782554.5)	(29.0, 887121.0)	(30.0, 994666.0)	(31.0, 1102211.0)	(32.0, 1257718.0)	(33.0, 1413225.0)	(34.0, 1557069.5)	(35.0, 1700914.0)	(36.0, 1809019.5)	(37.0, 1917125.0)	(38.0, 1997230.5)	(39.0, 2077336.0)	(40.0, 2148344.0)	(41.0, 2219352.0)	(42.0, 2239818.5)	(43.0, 2260285.0)	(44.0, 2301944.5)	(45.0, 2343604.0)	(46.0, 2298925.5)	(47.0, 2254247.0)	(48.0, 2179203.5)	(49.0, 2104160.0)	(50.0, 2111624.5)	(51.0, 2119089.0)	(52.0, 2130673.0)	(53.0, 2142257.0)	(54.0, 2144410.0)	(55.0, 2146563.0)	(56.0, 2188211.0)	(57.0, 2229859.0)	(58.0, 2274096.5)	(59.0, 2318334.0)	(60.0, 2367710.0)	(61.0, 2417086.0)	(62.0, 2410177.5)	(63.0, 2403269.0)	(64.0, 2370261.5)	(65.0, 2337254.0)	(66.0, 2257936.5)	(67.0, 2178619.0)	(68.0, 2057146.5)	(69.0, 1935674.0)	(70.0, 1781279.5)	(71.0, 1626885.0)	(72.0, 1460812.0)	(73.0, 1294739.0)	(74.0, 1137881.5)	(75.0, 847942.5)	(76.0, 714861.0)	(77.0, 606825.0)	(78.0, 498789.0)	(79.0, 417653.0)	(80.0, 336517.0)	(81.0, 280075.5)	(82.0, 223634.0)	(83.0, 182869.5)	(84.0, 142105.0)	(85.0, 111369.0)	(86.0, 80633.0)	(87.0, 61908.5)	(88.0, 43184.0)	(89.0, 31455.5)	(90.0, 19727.0)	(91.0, 14072.5)	(92.0, 8418.0)	(93.0, 5672.0)	(94.0, 2926.0)	(95.0, 2018.5)	(96.0, 1111.0)	(97.0, 730.0)	(98.0, 349.0)	(99.0, 277.5)	(100.0, 206.0)
