Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
NeuN_minus.B21_T2_HS	(13.0, 4.0)	(14.0, 5.0)	(15.0, 4.0)	(16.0, 14.0)	(17.0, 65.0)	(18.0, 208.0)	(19.0, 564.0)	(20.0, 1202.0)	(21.0, 2594.0)	(22.0, 4845.0)	(23.0, 9296.0)	(24.0, 17239.0)	(25.0, 32071.0)	(26.0, 56384.0)	(27.0, 95166.0)	(28.0, 151162.0)	(29.0, 227991.0)	(30.0, 324949.0)	(31.0, 445188.0)	(32.0, 591135.0)	(33.0, 763023.0)	(34.0, 976455.0)	(35.0, 1249820.0)	(36.0, 1643528.0)	(37.0, 2300138.0)	(38.0, 3752343.0)	(39.0, 8877192.0)	(40.0, 33095262.0)	
NeuN_minus.B22_T2_HS	(12.0, 2.0)	(13.0, 2.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 13.0)	(17.0, 42.0)	(18.0, 136.0)	(19.0, 329.0)	(20.0, 685.0)	(21.0, 1484.0)	(22.0, 2846.0)	(23.0, 5440.0)	(24.0, 10381.0)	(25.0, 19584.0)	(26.0, 35618.0)	(27.0, 62097.0)	(28.0, 99863.0)	(29.0, 153056.0)	(30.0, 223193.0)	(31.0, 308256.0)	(32.0, 412769.0)	(33.0, 539379.0)	(34.0, 693430.0)	(35.0, 895605.0)	(36.0, 1176014.0)	(37.0, 1632845.0)	(38.0, 2600916.0)	(39.0, 6486877.0)	(40.0, 29507430.0)
NeuN_minus.B25_T3_HS	(13.0, 1.0)	(14.0, 1.0)	(15.0, 7.0)	(16.0, 17.0)	(17.0, 49.0)	(18.0, 164.0)	(19.0, 401.0)	(20.0, 851.0)	(21.0, 1896.0)	(22.0, 3588.0)	(23.0, 7210.0)	(24.0, 14460.0)	(25.0, 27679.0)	(26.0, 51740.0)	(27.0, 89673.0)	(28.0, 145473.0)	(29.0, 220197.0)	(30.0, 315260.0)	(31.0, 433812.0)	(32.0, 573252.0)	(33.0, 739318.0)	(34.0, 943751.0)	(35.0, 1207032.0)	(36.0, 1569437.0)	(37.0, 2159532.0)	(38.0, 3408875.0)	(39.0, 8235795.0)	(40.0, 38219505.0)	
NeuN_minus.B26_T3_HS	(12.0, 2.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 7.0)	(16.0, 21.0)	(17.0, 62.0)	(18.0, 194.0)	(19.0, 525.0)	(20.0, 1243.0)	(21.0, 2887.0)	(22.0, 5944.0)	(23.0, 12527.0)	(24.0, 25655.0)	(25.0, 48849.0)	(26.0, 87992.0)	(27.0, 150300.0)	(28.0, 238198.0)	(29.0, 355714.0)	(30.0, 501837.0)	(31.0, 677252.0)	(32.0, 878363.0)	(33.0, 1105296.0)	(34.0, 1369182.0)	(35.0, 1686222.0)	(36.0, 2104290.0)	(37.0, 2741514.0)	(38.0, 3988977.0)	(39.0, 8441202.0)	(40.0, 30461401.0)
NeuN_minus.B27_T1_HS	(13.0, 2.0)	(14.0, 6.0)	(15.0, 4.0)	(16.0, 7.0)	(17.0, 18.0)	(18.0, 45.0)	(19.0, 154.0)	(20.0, 365.0)	(21.0, 1032.0)	(22.0, 2430.0)	(23.0, 5939.0)	(24.0, 13792.0)	(25.0, 30280.0)	(26.0, 60571.0)	(27.0, 112162.0)	(28.0, 188680.0)	(29.0, 293149.0)	(30.0, 426436.0)	(31.0, 583749.0)	(32.0, 769021.0)	(33.0, 980168.0)	(34.0, 1226260.0)	(35.0, 1523047.0)	(36.0, 1928015.0)	(37.0, 2561669.0)	(38.0, 3880958.0)	(39.0, 8943165.0)	(40.0, 40493310.0)	
NeuN_minus.B28_T3_HS	(15.0, 1.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 28.0)	(19.0, 73.0)	(20.0, 239.0)	(21.0, 727.0)	(22.0, 2131.0)	(23.0, 6107.0)	(24.0, 15800.0)	(25.0, 35567.0)	(26.0, 72597.0)	(27.0, 135023.0)	(28.0, 226302.0)	(29.0, 351803.0)	(30.0, 506384.0)	(31.0, 692472.0)	(32.0, 901515.0)	(33.0, 1135477.0)	(34.0, 1392090.0)	(35.0, 1691349.0)	(36.0, 2069456.0)	(37.0, 2635475.0)	(38.0, 3749843.0)	(39.0, 7383217.0)	(40.0, 23473559.0)			
NeuN_minus.B30_T1_HS	(13.0, 2.0)	(14.0, 5.0)	(15.0, 3.0)	(16.0, 9.0)	(17.0, 43.0)	(18.0, 127.0)	(19.0, 291.0)	(20.0, 680.0)	(21.0, 1480.0)	(22.0, 3082.0)	(23.0, 6211.0)	(24.0, 12730.0)	(25.0, 25025.0)	(26.0, 46938.0)	(27.0, 82531.0)	(28.0, 135323.0)	(29.0, 209499.0)	(30.0, 303970.0)	(31.0, 422174.0)	(32.0, 563718.0)	(33.0, 736710.0)	(34.0, 943514.0)	(35.0, 1211484.0)	(36.0, 1580550.0)	(37.0, 2173848.0)	(38.0, 3423071.0)	(39.0, 8434715.0)	(40.0, 40545999.0)	
NeuN_minus.B31_T1_HS	(12.0, 1.0)	(13.0, 3.0)	(14.0, 3.0)	(15.0, 3.0)	(16.0, 5.0)	(17.0, 18.0)	(18.0, 26.0)	(19.0, 87.0)	(20.0, 264.0)	(21.0, 741.0)	(22.0, 1956.0)	(23.0, 5114.0)	(24.0, 12472.0)	(25.0, 26968.0)	(26.0, 52972.0)	(27.0, 95673.0)	(28.0, 158529.0)	(29.0, 245365.0)	(30.0, 352026.0)	(31.0, 483449.0)	(32.0, 632908.0)	(33.0, 805314.0)	(34.0, 1007289.0)	(35.0, 1251237.0)	(36.0, 1578942.0)	(37.0, 2086919.0)	(38.0, 3110239.0)	(39.0, 6898520.0)	(40.0, 26254650.0)
NeuN_minus.B32_T3_HS	(14.0, 3.0)	(15.0, 14.0)	(16.0, 48.0)	(17.0, 178.0)	(18.0, 574.0)	(19.0, 1890.0)	(20.0, 5856.0)	(21.0, 16103.0)	(22.0, 37851.0)	(23.0, 80438.0)	(24.0, 150706.0)	(25.0, 255680.0)	(26.0, 396121.0)	(27.0, 569019.0)	(28.0, 770191.0)	(29.0, 992695.0)	(30.0, 1243458.0)	(31.0, 1522513.0)	(32.0, 1869033.0)	(33.0, 2347086.0)	(34.0, 3095582.0)	(35.0, 4450948.0)	(36.0, 7054359.0)	(37.0, 7280827.0)	(38.0, 4072687.0)	(39.0, 5602085.0)	(40.0, 7956598.0)		
NeuN_minus.B33_T1_HS	(13.0, 2.0)	(14.0, 0.0)	(15.0, 6.0)	(16.0, 11.0)	(17.0, 30.0)	(18.0, 74.0)	(19.0, 235.0)	(20.0, 523.0)	(21.0, 1499.0)	(22.0, 3620.0)	(23.0, 8172.0)	(24.0, 18581.0)	(25.0, 38422.0)	(26.0, 73024.0)	(27.0, 128524.0)	(28.0, 208399.0)	(29.0, 317701.0)	(30.0, 452211.0)	(31.0, 615780.0)	(32.0, 802603.0)	(33.0, 1015307.0)	(34.0, 1263325.0)	(35.0, 1563041.0)	(36.0, 1953437.0)	(37.0, 2557406.0)	(38.0, 3760689.0)	(39.0, 8251076.0)	(40.0, 27616815.0)	
NeuN_minus.B34_T4_HS	(14.0, 3.0)	(15.0, 3.0)	(16.0, 11.0)	(17.0, 39.0)	(18.0, 122.0)	(19.0, 304.0)	(20.0, 733.0)	(21.0, 1554.0)	(22.0, 3122.0)	(23.0, 6296.0)	(24.0, 12891.0)	(25.0, 24981.0)	(26.0, 46154.0)	(27.0, 81017.0)	(28.0, 131513.0)	(29.0, 202436.0)	(30.0, 292086.0)	(31.0, 403044.0)	(32.0, 537766.0)	(33.0, 700545.0)	(34.0, 896254.0)	(35.0, 1151560.0)	(36.0, 1507189.0)	(37.0, 2074305.0)	(38.0, 3277413.0)	(39.0, 8057780.0)	(40.0, 37799347.0)		
NeuN_minus.B35_T3_HS	(12.0, 1.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 6.0)	(16.0, 10.0)	(17.0, 66.0)	(18.0, 144.0)	(19.0, 364.0)	(20.0, 853.0)	(21.0, 1866.0)	(22.0, 3783.0)	(23.0, 7905.0)	(24.0, 16189.0)	(25.0, 31641.0)	(26.0, 59036.0)	(27.0, 102724.0)	(28.0, 166169.0)	(29.0, 254209.0)	(30.0, 365617.0)	(31.0, 502856.0)	(32.0, 665638.0)	(33.0, 861264.0)	(34.0, 1098732.0)	(35.0, 1397417.0)	(36.0, 1811555.0)	(37.0, 2466542.0)	(38.0, 3813534.0)	(39.0, 9224296.0)	(40.0, 41238163.0)
NeuN_minus.B36_T3_HS	(12.0, 2.0)	(13.0, 3.0)	(14.0, 4.0)	(15.0, 7.0)	(16.0, 24.0)	(17.0, 49.0)	(18.0, 75.0)	(19.0, 208.0)	(20.0, 576.0)	(21.0, 1340.0)	(22.0, 2974.0)	(23.0, 6725.0)	(24.0, 14786.0)	(25.0, 30287.0)	(26.0, 59600.0)	(27.0, 104907.0)	(28.0, 172906.0)	(29.0, 264517.0)	(30.0, 380240.0)	(31.0, 521038.0)	(32.0, 683513.0)	(33.0, 875561.0)	(34.0, 1102870.0)	(35.0, 1388931.0)	(36.0, 1782259.0)	(37.0, 2424661.0)	(38.0, 3790260.0)	(39.0, 9024411.0)	(40.0, 39209382.0)
NeuN_minus.B37_T1_HS	(12.0, 1.0)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 18.0)	(18.0, 48.0)	(19.0, 175.0)	(20.0, 473.0)	(21.0, 1241.0)	(22.0, 2749.0)	(23.0, 6442.0)	(24.0, 14569.0)	(25.0, 30568.0)	(26.0, 59702.0)	(27.0, 106585.0)	(28.0, 176305.0)	(29.0, 270278.0)	(30.0, 386826.0)	(31.0, 529735.0)	(32.0, 692987.0)	(33.0, 879814.0)	(34.0, 1093868.0)	(35.0, 1352269.0)	(36.0, 1695808.0)	(37.0, 2217031.0)	(38.0, 3254894.0)	(39.0, 7060587.0)	(40.0, 28454856.0)
NeuN_minus.B38_T1_HS	(15.0, 2.0)	(16.0, 6.0)	(17.0, 10.0)	(18.0, 33.0)	(19.0, 101.0)	(20.0, 289.0)	(21.0, 814.0)	(22.0, 2138.0)	(23.0, 5733.0)	(24.0, 14659.0)	(25.0, 32911.0)	(26.0, 66689.0)	(27.0, 122828.0)	(28.0, 204765.0)	(29.0, 317177.0)	(30.0, 455199.0)	(31.0, 622056.0)	(32.0, 808188.0)	(33.0, 1017243.0)	(34.0, 1261603.0)	(35.0, 1551446.0)	(36.0, 1940795.0)	(37.0, 2542687.0)	(38.0, 3740484.0)	(39.0, 8212654.0)	(40.0, 41565605.0)			
NeuN_minus.B39_T1_HS	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 4.0)	(16.0, 13.0)	(17.0, 46.0)	(18.0, 176.0)	(19.0, 463.0)	(20.0, 1130.0)	(21.0, 2519.0)	(22.0, 5276.0)	(23.0, 10887.0)	(24.0, 21647.0)	(25.0, 41225.0)	(26.0, 75651.0)	(27.0, 129085.0)	(28.0, 205304.0)	(29.0, 308721.0)	(30.0, 437107.0)	(31.0, 594633.0)	(32.0, 777205.0)	(33.0, 985381.0)	(34.0, 1233856.0)	(35.0, 1536916.0)	(36.0, 1939299.0)	(37.0, 2557492.0)	(38.0, 3779665.0)	(39.0, 8159617.0)	(40.0, 33363005.0)
NeuN_minus.B40_T2_HS	(14.0, 1.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 22.0)	(18.0, 88.0)	(19.0, 204.0)	(20.0, 614.0)	(21.0, 1420.0)	(22.0, 3192.0)	(23.0, 7442.0)	(24.0, 16148.0)	(25.0, 33115.0)	(26.0, 64082.0)	(27.0, 113253.0)	(28.0, 183508.0)	(29.0, 277784.0)	(30.0, 390571.0)	(31.0, 527670.0)	(32.0, 683144.0)	(33.0, 859564.0)	(34.0, 1067272.0)	(35.0, 1318120.0)	(36.0, 1653358.0)	(37.0, 2182234.0)	(38.0, 3241670.0)	(39.0, 7383250.0)	(40.0, 41632870.0)		
