Sample	Unique Reads	Duplicate Reads
NeuN_minus.B21_T2_HS	36197645.0	18420202.0
NeuN_minus.B22_T2_HS	33346154.0	11522140.0
NeuN_minus.B25_T3_HS	34969506.0	23399470.0
NeuN_minus.B26_T3_HS	37223986.0	17661671.0
NeuN_minus.B27_T1_HS	36082660.0	27941774.0
NeuN_minus.B28_T3_HS	25941742.0	20535497.0
NeuN_minus.B30_T1_HS	43968291.0	16895441.0
NeuN_minus.B31_T1_HS	31104457.0	13957236.0
NeuN_minus.B32_T3_HS	39806085.0	9966458.0
NeuN_minus.B33_T1_HS	33737044.0	16913469.0
NeuN_minus.B34_T4_HS	31828234.0	25380234.0
NeuN_minus.B35_T3_HS	40737278.0	23353304.0
NeuN_minus.B36_T3_HS	40359935.0	21482181.0
NeuN_minus.B37_T1_HS	32150191.0	16137647.0
NeuN_minus.B38_T1_HS	34571487.0	29914628.0
NeuN_minus.B39_T1_HS	39017012.0	17149314.0
NeuN_minus.B40_T2_HS	44568322.0	17072280.0
NeuN_minus.B41_T1_HS	43145594.0	16640067.0
NeuN_minus.B42_T3_HS	47811614.0	14094252.0
NeuN_minus.B43_T2_HS	33555337.0	6458840.0
NeuN_minus.B44_T1_HS	37220822.0	7903646.0
NeuN_minus.B45_T2_HS	33304470.0	19721627.0
NeuN_minus.B46_T2_HS	34339937.0	14749455.0
NeuN_minus.B47_T2_HS	28945859.0	24949541.0
NeuN_minus.B48_T2_HS	38468913.0	15312906.0
NeuN_minus.B50_T1_HS	57813009.0	28376192.0
NeuN_minus.B51_T1_HS	37933724.0	24311753.0
NeuN_minus.B52_T1_HS	40968935.0	18052524.0
NeuN_minus.B53_T1_HS	41226860.0	19082478.0
NeuN_minus.B54_T1_HS	36866503.0	14577772.0
NeuN_minus.B55_T1_HS	36758507.0	20935476.0
NeuN_minus.B56_T1_HS	40623094.0	22907776.0
NeuN_minus.B57_T2_HS	34939930.0	10052670.0
NeuN_minus.B58_T1_HS	28242127.0	23246790.0
NeuN_minus.B59_T1_HS	48637033.0	20604544.0
NeuN_minus.B60_T1_HS	43148972.0	21090290.0
NeuN_minus.B61_T1_HS	20892676.0	11318958.0
NeuN_minus.B62_T1_HS	36049328.0	20679226.0
NeuN_minus.B63_T1_HS	36595609.0	10282839.0
NeuN_minus.B64_T2_HS	35298776.0	16898735.0
NeuN_minus.B65_T1_HS	35480019.0	14490219.0
NeuN_minus.B66_T2_HS	42765271.0	17988518.0
NeuN_minus.B67_T1_HS	28767973.0	40978245.0
NeuN_minus.B68_T2_HS	32523676.0	4718929.0
NeuN_minus.B69_T1_HS	40596196.0	14249296.0
NeuN_minus.B70_T1_HS	43083039.0	14412097.0
NeuN_minus.B71_T1_HS	32887964.0	16717228.0
NeuN_minus.B72_T1_HS	34454904.0	18045625.0
NeuN_minus.B73_T1_HS	39200369.0	19649772.0
NeuN_minus.B74_T1_HS	35040971.0	26440565.0
NeuN_plus.B21_T2_HS	41153273.0	29256698.0
NeuN_plus.B22_T2_HS	39330306.0	16823242.0
NeuN_plus.B25_T3_HS	42106214.0	42063961.0
NeuN_plus.B27_T1_HS	43635170.0	23518190.0
NeuN_plus.B28_T3_HS	22595727.0	10428183.0
NeuN_plus.B30_T1_HS	40529377.0	17337139.0
NeuN_plus.B31_T1_HS	40467859.0	15771225.0
NeuN_plus.B32_T3_HS	41800178.0	5937554.0
NeuN_plus.B33_T1_HS	38525265.0	11862812.0
NeuN_plus.B34_T4_HS	33510919.0	19641394.0
NeuN_plus.B35_T3_HS	33730562.0	15325215.0
NeuN_plus.B36_T3_HS	28998991.0	11795809.0
NeuN_plus.B37_T1_HS	30699965.0	27899475.0
NeuN_plus.B38_T1_HS	31052334.0	26426689.0
NeuN_plus.B39_T1_HS	37230439.0	11972305.0
NeuN_plus.B40_T2_HS	68145070.0	22788997.0
NeuN_plus.B41_T1_HS	37870964.0	20190586.0
NeuN_plus.B45_T2_HS	30392737.0	23123519.0
NeuN_plus.B46_T2_HS	39537366.0	14230641.0
NeuN_plus.B47_T2_HS	43938154.0	20196572.0
NeuN_plus.B50_T1_HS	61546915.0	30722841.0
NeuN_plus.B51_T1_HS	42763055.0	31944210.0
NeuN_plus.B52_T1_HS	51427973.0	27201699.0
NeuN_plus.B53_T1_HS	49301312.0	17504010.0
NeuN_plus.B54_T1_HS	47084399.0	24145088.0
NeuN_plus.B55_T1_HS	45031372.0	14148397.0
NeuN_plus.B56_T1_HS	37147654.0	15123531.0
NeuN_plus.B57_T2_HS	45454886.0	11841871.0
NeuN_plus.B58_T1_HS	40669070.0	23134111.0
NeuN_plus.B60_T1_HS	51386909.0	22626401.0
NeuN_plus.B61_T1_HS	36382726.0	19351728.0
NeuN_plus.B62_T1_HS	37759424.0	28079746.0
NeuN_plus.B65_T1_HS	44571405.0	14578787.0
NeuN_plus.B66_T2_HS	43735578.0	10626006.0
NeuN_plus.B69_T1_HS	50644476.0	21173116.0
NeuN_plus.B70_T1_HS	33330457.0	9456899.0
NeuN_plus.B71_T1_HS	26060498.0	17446431.0
NeuN_plus.B72_T1_HS	40480753.0	24452553.0
NeuN_plus.B73_T1_HS	48766950.0	11529889.0
NeuN_plus.B74_T1_HS	43091679.0	16399467.0
