Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NeuN_minus.B21_T2_HS	(1.0, 57.179921452857876)	(2.0, 12.852808573632215)	(3.0, 4.350599782881663)	(4.0, 2.134010821068187)	(5.0, 1.119400056554289)	(6.0, 0.7606679349776171)	(7.0, 0.5285584658498317)	(8.0, 0.417089708563817)	(9.0, 0.2844235357661081)	('>10', 2.3270004753808564)	('>50', 0.9555651952534683)	('>100', 4.745338845413127)	('>500', 3.7338140688817747)	('>1k', 7.901079070174777)	('>5k', 0.6671954090341725)	('>10k+', 0.04252660371068286)
NeuN_minus.B22_T2_HS	(1.0, 67.32928990710175)	(2.0, 10.980216251325919)	(3.0, 2.570925228207001)	(4.0, 1.0604145071715338)	(5.0, 0.5095160032499094)	(6.0, 0.36704406651891597)	(7.0, 0.2567826051156743)	(8.0, 0.19002986989185205)	(9.0, 0.14922673952404722)	('>10', 1.8624611162621596)	('>50', 0.9736582771425427)	('>100', 4.6207738985806674)	('>500', 3.3318350787119644)	('>1k', 5.674578021044873)	('>5k', 0.12324843015111106)	('>10k+', 0.0)
NeuN_minus.B25_T3_HS	(1.0, 48.674753429859244)	(2.0, 14.275415224433544)	(3.0, 6.171373542404793)	(4.0, 3.270044209844017)	(5.0, 2.042834902395068)	(6.0, 1.4096874876274825)	(7.0, 1.0706698722666685)	(8.0, 0.7517259132654664)	(9.0, 0.5882482905178451)	('>10', 3.662048837283681)	('>50', 0.7098406022388195)	('>100', 3.8113431079530864)	('>500', 3.2432490533312652)	('>1k', 9.042542698626127)	('>5k', 1.2364521606635843)	('>10k+', 0.039770667289339076)
NeuN_minus.B26_T3_HS	(1.0, 59.726083113286734)	(2.0, 11.08790949033577)	(3.0, 3.698748327419187)	(4.0, 1.9855325525399494)	(5.0, 1.2483210287650008)	(6.0, 0.8481535109886947)	(7.0, 0.6471669795020761)	(8.0, 0.5087980279752716)	(9.0, 0.41004271425403355)	('>10', 3.030471011973223)	('>50', 1.1025138307192979)	('>100', 5.452058066718527)	('>500', 3.738523901585168)	('>1k', 6.210784211024731)	('>5k', 0.25598051036413094)	('>10k+', 0.048912722548191505)
NeuN_minus.B27_T1_HS	(1.0, 39.094632746057364)	(2.0, 20.617962363006846)	(3.0, 10.029428721762386)	(4.0, 5.5428520438217)	(5.0, 3.563090393656687)	(6.0, 2.5691246391455733)	(7.0, 1.9080584315291294)	(8.0, 1.4933276051207833)	(9.0, 1.1683190342024417)	('>10', 7.279462978372599)	('>50', 0.8053029726452403)	('>100', 2.79207557048371)	('>500', 1.6902972099025952)	('>1k', 1.4460652902930267)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_minus.B28_T3_HS	(1.0, 35.65341062039562)	(2.0, 22.65782799255319)	(3.0, 12.630479931779695)	(4.0, 7.599293169723742)	(5.0, 5.111283539968909)	(6.0, 3.4388618938556417)	(7.0, 2.5357059166455667)	(8.0, 1.7947405503832687)	(9.0, 1.3517765703779832)	('>10', 5.143591489614631)	('>50', 0.5093126187434943)	('>100', 1.3894973164832614)	('>500', 0.16349833816508683)	('>1k', 0.020720051309900313)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_minus.B30_T1_HS	(1.0, 62.41895734378715)	(2.0, 14.665418284603954)	(3.0, 4.296350985727676)	(4.0, 1.7020628833811031)	(5.0, 0.9814976729247733)	(6.0, 0.6752130435573594)	(7.0, 0.5121039819525405)	(8.0, 0.34107680574565163)	(9.0, 0.3080100213362101)	('>10', 2.4145326212799625)	('>50', 0.8729236675456841)	('>100', 3.5742986751893344)	('>500', 2.5531901892162514)	('>1k', 4.4831630992494595)	('>5k', 0.20120072450294052)	('>10k+', 0.0)
NeuN_minus.B31_T1_HS	(1.0, 60.8992820086277)	(2.0, 11.937988200247398)	(3.0, 3.535519208274752)	(4.0, 1.6265673156342026)	(5.0, 0.9184575446503424)	(6.0, 0.5958336877088419)	(7.0, 0.4240478786278863)	(8.0, 0.3018382013854169)	(9.0, 0.239403090061975)	('>10', 2.2201709427265004)	('>50', 0.9097467575444536)	('>100', 4.404942934663148)	('>500', 3.829130918913315)	('>1k', 7.733558345466685)	('>5k', 0.42351296546760336)	('>10k+', 0.0)
NeuN_minus.B32_T3_HS	(1.0, 75.22888535598106)	(2.0, 6.135213144219479)	(3.0, 2.2608648370863658)	(4.0, 1.2632930788772587)	(5.0, 0.7746739832792876)	(6.0, 0.641109491539534)	(7.0, 0.48901423993596166)	(8.0, 0.39142265404593957)	(9.0, 0.3282869333428642)	('>10', 2.7957499276691813)	('>50', 0.7064159210232651)	('>100', 3.251261728082451)	('>500', 2.2596112849410126)	('>1k', 3.3813077778970246)	('>5k', 0.09288964207953736)	('>10k+', 0.0)
NeuN_minus.B33_T1_HS	(1.0, 54.1911560242035)	(2.0, 17.88629613017925)	(3.0, 6.148021038215455)	(4.0, 2.7427486216193264)	(5.0, 1.4593740303614506)	(6.0, 0.8503384427815998)	(7.0, 0.5756229751152715)	(8.0, 0.37539921306466134)	(9.0, 0.2799710220247125)	('>10', 1.892068950815044)	('>50', 0.8251951776560844)	('>100', 4.032749127504431)	('>500', 3.1508826262204823)	('>1k', 5.382072460536981)	('>5k', 0.20810415970176177)	('>10k+', 0.0)
NeuN_minus.B34_T4_HS	(1.0, 47.1110221925782)	(2.0, 12.332004278844318)	(3.0, 3.9930429181698748)	(4.0, 1.8073362347112991)	(5.0, 1.0191932388397225)	(6.0, 0.6437176552679348)	(7.0, 0.44566469187565644)	(8.0, 0.31191991915434675)	(9.0, 0.23558537665628246)	('>10', 1.6816080741345445)	('>50', 0.6065112898938231)	('>100', 3.6041476374630657)	('>500', 4.013519785142814)	('>1k', 16.149553844171116)	('>5k', 4.690663033211718)	('>10k+', 1.3545098298852947)
NeuN_minus.B35_T3_HS	(1.0, 56.052206198524026)	(2.0, 10.94770041929189)	(3.0, 3.2797261332463674)	(4.0, 1.4617961476158954)	(5.0, 0.8432377438634429)	(6.0, 0.6369034915849203)	(7.0, 0.39131043387158704)	(8.0, 0.33374622478497235)	(9.0, 0.2734776528577335)	('>10', 2.3672415760572036)	('>50', 1.0008292956935525)	('>100', 4.150305219348551)	('>500', 3.7804001965277196)	('>1k', 11.510428930511447)	('>5k', 2.497597411062696)	('>10k+', 0.4730929251581107)
NeuN_minus.B36_T3_HS	(1.0, 51.815466613143016)	(2.0, 17.11519916717246)	(3.0, 7.090057028682492)	(4.0, 3.9607694325705696)	(5.0, 2.4073435862993793)	(6.0, 1.7943426843857708)	(7.0, 1.2995062610478503)	(8.0, 1.000389487487038)	(9.0, 0.7829790091808907)	('>10', 5.170699761222462)	('>50', 0.7432093753357293)	('>100', 3.143646471104965)	('>500', 1.7769456390374756)	('>1k', 1.8770396732824195)	('>5k', 0.022405810047476386)	('>10k+', 0.0)
NeuN_minus.B37_T1_HS	(1.0, 53.7471455542795)	(2.0, 18.655433898213925)	(3.0, 6.330068195650114)	(4.0, 2.6400966554801752)	(5.0, 1.5276214788453253)	(6.0, 0.7999159492389478)	(7.0, 0.5156817535312499)	(8.0, 0.35233763641064725)	(9.0, 0.26030503102850644)	('>10', 1.9535374439530635)	('>50', 0.859079555944982)	('>100', 4.243868033397677)	('>500', 3.1877101408922637)	('>1k', 4.858344165237526)	('>5k', 0.06885450789625899)	('>10k+', 0.0)
NeuN_minus.B38_T1_HS	(1.0, 33.39227019689372)	(2.0, 22.484147715672663)	(3.0, 12.819869486150415)	(4.0, 7.433233062335229)	(5.0, 4.864103739189578)	(6.0, 3.4463394987506772)	(7.0, 2.560105208789231)	(8.0, 2.052894656819713)	(9.0, 1.5109067023126552)	('>10', 6.8610366430896015)	('>50', 0.5148265779390806)	('>100', 1.5453035613493384)	('>500', 0.40664918139045697)	('>1k', 0.10831376931780617)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_minus.B39_T1_HS	(1.0, 56.28440257006629)	(2.0, 19.43506533623416)	(3.0, 6.457025187803218)	(4.0, 2.6299319994169004)	(5.0, 1.321487564556706)	(6.0, 0.725247751649389)	(7.0, 0.5115183772594816)	(8.0, 0.34839203629966176)	(9.0, 0.22926962242917828)	('>10', 1.6941356732008022)	('>50', 0.8058596980158369)	('>100', 3.6945072677187727)	('>500', 2.6081198818258233)	('>1k', 3.2366685274106355)	('>5k', 0.01836850611310682)	('>10k+', 0.0)
