Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NeuN_minus.B21_T2_HS	NeuN_minus.B21_T2_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54617847.0	2.7 Gbp	0.0	51.0	50.0	66.27438918114913	51.0	51	pass	pass	fail	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B22_T2_HS	NeuN_minus.B22_T2_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44868294.0	2.2 Gbp	0.0	51.0	45.0	74.32008422920559	51.0	51	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
NeuN_minus.B25_T3_HS	NeuN_minus.B25_T3_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58368976.0	2.9 Gbp	0.0	51.0	51.0	59.91111702642057	51.0	51	pass	pass	warn	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B26_T3_HS	NeuN_minus.B26_T3_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54885657.0	2.7 Gbp	0.0	51.0	51.0	67.82097143117406	51.0	51	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
NeuN_minus.B27_T1_HS	NeuN_minus.B27_T1_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64024434.0	3.2 Gbp	0.0	51.0	53.0	56.357638629336634	51.0	51	pass	pass	fail	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B28_T3_HS	NeuN_minus.B28_T3_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46477239.0	2.3 Gbp	0.0	51.0	59.0	55.81601278946021	51.0	51	pass	pass	fail	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B30_T1_HS	NeuN_minus.B30_T1_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60863732.0	3.1 Gbp	0.0	51.0	46.0	72.24054231328537	51.0	51	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
NeuN_minus.B31_T1_HS	NeuN_minus.B31_T1_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45061693.0	2.2 Gbp	0.0	51.0	48.0	69.02638256087222	51.0	51	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	pass
NeuN_minus.B32_T3_HS	NeuN_minus.B32_T3_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49772543.0	2.5 Gbp	0.0	51.0	52.0	79.97599139722256	51.0	51	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
NeuN_minus.B33_T1_HS	NeuN_minus.B33_T1_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50650513.0	2.5 Gbp	0.0	51.0	52.0	66.60750625147423	51.0	51	pass	pass	fail	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B34_T4_HS	NeuN_minus.B34_T4_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57208468.0	2.9 Gbp	0.0	51.0	47.0	55.6355291536873	51.0	51	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	pass
NeuN_minus.B35_T3_HS	NeuN_minus.B35_T3_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64090582.0	3.2 Gbp	0.0	51.0	46.0	63.5620341979015	51.0	51	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
NeuN_minus.B36_T3_HS	NeuN_minus.B36_T3_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61842116.0	3.1 Gbp	0.0	51.0	50.0	65.26286107222586	51.0	51	pass	pass	warn	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B37_T1_HS	NeuN_minus.B37_T1_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48287838.0	2.4 Gbp	0.0	51.0	51.0	66.58030572677478	51.0	51	pass	pass	warn	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B38_T1_HS	NeuN_minus.B38_T1_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64486115.0	3.2 Gbp	0.0	51.0	56.0	53.61074472659131	51.0	51	pass	pass	warn	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B39_T1_HS	NeuN_minus.B39_T1_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56166326.0	2.8 Gbp	0.0	51.0	50.0	69.46690999969202	51.0	51	pass	pass	pass	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B40_T2_HS	NeuN_minus.B40_T2_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61640602.0	3.1 Gbp	0.0	51.0	50.0	72.30351376103363	51.0	51	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	pass
NeuN_minus.B41_T1_HS	NeuN_minus.B41_T1_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59785661.0	3 Gbp	0.0	51.0	46.0	72.16712634387626	51.0	51	pass	pass	pass	pass	fail	fail	pass	pass	pass	pass	pass
NeuN_minus.B42_T3_HS	NeuN_minus.B42_T3_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61905866.0	3.1 Gbp	0.0	51.0	43.0	77.23276810030151	51.0	51	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
NeuN_minus.B43_T2_HS	NeuN_minus.B43_T2_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40014177.0	2 Gbp	0.0	51.0	44.0	83.8586206176312	51.0	51	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
NeuN_minus.B44_T1_HS	NeuN_minus.B44_T1_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45124468.0	2.3 Gbp	0.0	51.0	44.0	82.48478789919733	51.0	51	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
NeuN_minus.B45_T2_HS	NeuN_minus.B45_T2_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53026097.0	2.7 Gbp	0.0	51.0	51.0	62.807695751398164	51.0	51	pass	pass	fail	pass	fail	warn	pass	pass	warn	pass	pass
NeuN_minus.B46_T2_HS	NeuN_minus.B46_T2_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49089392.0	2.5 Gbp	0.0	51.0	50.0	69.9538841095632	51.0	51	pass	pass	warn	pass	fail	fail	pass	pass	warn	pass	pass
NeuN_minus.B47_T2_HS	NeuN_minus.B47_T2_HS.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53895400.0	2.7 Gbp	0.0	51.0	53.0	53.707475478593956	51.0	51	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	pass
