Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
NeuN_minus.B21_T2_HS	33.72561081885087	50.0	51.0	51	27.27272727272727	54.617847
NeuN_minus.B22_T2_HS	25.67991577079441	45.0	51.0	51	18.181818181818183	44.868294
NeuN_minus.B25_T3_HS	40.08888297357943	51.0	51.0	51	18.181818181818183	58.368975999999996
NeuN_minus.B26_T3_HS	32.17902856882594	51.0	51.0	51	9.090909090909092	54.885656999999995
NeuN_minus.B27_T1_HS	43.642361370663366	53.0	51.0	51	27.27272727272727	64.024434
NeuN_minus.B28_T3_HS	44.18398721053979	59.0	51.0	51	27.27272727272727	46.477239
NeuN_minus.B30_T1_HS	27.759457686714626	46.0	51.0	51	9.090909090909092	60.863732
NeuN_minus.B31_T1_HS	30.97361743912778	48.0	51.0	51	9.090909090909092	45.061693
NeuN_minus.B32_T3_HS	20.024008602777442	52.0	51.0	51	18.181818181818183	49.772543
NeuN_minus.B33_T1_HS	33.392493748525766	52.0	51.0	51	27.27272727272727	50.650513
NeuN_minus.B34_T4_HS	44.3644708463127	47.0	51.0	51	9.090909090909092	57.208467999999996
NeuN_minus.B35_T3_HS	36.4379658020985	46.0	51.0	51	9.090909090909092	64.090582
NeuN_minus.B36_T3_HS	34.73713892777414	50.0	51.0	51	18.181818181818183	61.842116
NeuN_minus.B37_T1_HS	33.41969427322522	51.0	51.0	51	18.181818181818183	48.287838
NeuN_minus.B38_T1_HS	46.38925527340869	56.0	51.0	51	18.181818181818183	64.486115
NeuN_minus.B39_T1_HS	30.53309000030798	50.0	51.0	51	18.181818181818183	56.166326
NeuN_minus.B40_T2_HS	27.696486238966372	50.0	51.0	51	18.181818181818183	61.640601999999994
NeuN_minus.B41_T1_HS	27.832873656123738	46.0	51.0	51	18.181818181818183	59.785661
NeuN_minus.B42_T3_HS	22.767231899698487	43.0	51.0	51	9.090909090909092	61.905865999999996
NeuN_minus.B43_T2_HS	16.141379382368797	44.0	51.0	51	18.181818181818183	40.014177
NeuN_minus.B44_T1_HS	17.51521210080267	44.0	51.0	51	9.090909090909092	45.124468
NeuN_minus.B45_T2_HS	37.192304248601836	51.0	51.0	51	18.181818181818183	53.026097
NeuN_minus.B46_T2_HS	30.046115890436795	50.0	51.0	51	18.181818181818183	49.089392
NeuN_minus.B47_T2_HS	46.292524521406044	53.0	51.0	51	9.090909090909092	53.895399999999995
NeuN_minus.B48_T2_HS	28.47227374799101	42.0	51.0	51	9.090909090909092	53.781819
NeuN_minus.B50_T1_HS	32.92314097436501	49.0	51.0	51	18.181818181818183	86.189201
NeuN_minus.B51_T1_HS	39.05786363870983	55.0	51.0	51	27.27272727272727	62.245476999999994
NeuN_minus.B52_T1_HS	30.58637392663175	47.0	51.0	51	18.181818181818183	59.021459
NeuN_minus.B53_T1_HS	31.641001162119167	49.0	51.0	51	18.181818181818183	60.309338
NeuN_minus.B54_T1_HS	28.33701569416401	47.0	51.0	51	9.090909090909092	51.444275
NeuN_minus.B55_T1_HS	36.287105678821206	52.0	51.0	51	9.090909090909092	57.693982999999996
NeuN_minus.B56_T1_HS	36.0577092800661	50.0	51.0	51	18.181818181818183	63.53087
NeuN_minus.B57_T2_HS	22.34294098190979	54.0	51.0	51	18.181818181818183	44.992599999999996
NeuN_minus.B58_T1_HS	45.149114793824175	56.0	51.0	51	9.090909090909092	51.488917
NeuN_minus.B59_T1_HS	29.75747417989156	44.0	51.0	51	18.181818181818183	69.24157699999999
NeuN_minus.B60_T1_HS	32.83084192577931	52.0	51.0	51	18.181818181818183	64.239262
NeuN_minus.B61_T1_HS	35.13934966889512	51.0	51.0	51	18.181818181818183	32.211634
NeuN_minus.B62_T1_HS	36.45294189978411	50.0	51.0	51	18.181818181818183	56.728553999999995
