Module	Section	Sample Name	Source
FastQC	all_sections	NeuN_minus.B21_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B21_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B22_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B22_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B25_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B25_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B26_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B26_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B27_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B27_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B28_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B28_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B30_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B30_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B31_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B31_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B32_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B32_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B33_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B33_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B34_T4_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B34_T4_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B35_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B35_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B36_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B36_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B37_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B37_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B38_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B38_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B39_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B39_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B40_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B40_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B41_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B41_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B42_T3_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B42_T3_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B43_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B43_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B44_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B44_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B45_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B45_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B46_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B46_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B47_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B47_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B48_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B48_T2_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B50_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B50_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B51_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B51_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B52_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B52_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B53_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B53_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B54_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B54_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B55_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B55_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B56_T1_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B56_T1_HS_fastqc.zip
FastQC	all_sections	NeuN_minus.B57_T2_HS	/data/scratch/timaz/atac/results/fastqc/NeuN_minus.B57_T2_HS_fastqc.zip
